epoch,reg_loss,reg_val_loss,reg_mae,clf_loss,clf_val_loss,clf_accuracy,clf_val_accuracy
0,0.34609082341194153,0.010687734931707382,0.6950633525848389,0.7803747653961182,0.698594331741333,0.5,0.5295138955116272
1,0.15531587600708008,0.01750308834016323,0.4319112300872803,0.7535944581031799,0.6980745792388916,0.5123152732849121,0.5190972089767456
2,0.08909280598163605,0.012869533151388168,0.3215288519859314,0.7352370023727417,0.7008503675460815,0.5295566320419312,0.5364583134651184
3,0.062214892357587814,0.011371748521924019,0.2631677985191345,0.7160396575927734,0.7046029567718506,0.5283251404762268,0.5034722089767456
4,0.048734400421381,0.008997309021651745,0.22840312123298645,0.7023874521255493,0.7128800749778748,0.5480295419692993,0.4913194477558136
5,0.03706793859601021,0.00847359374165535,0.19426684081554413,0.7199043035507202,0.7146958708763123,0.5307881832122803,0.5138888955116272
6,0.026345521211624146,0.008367459289729595,0.15857359766960144,0.7030274271965027,0.7129215002059937,0.5726600885391235,0.5295138955116272
7,0.022589100524783134,0.0073676276952028275,0.14703187346458435,0.7253921031951904,0.7130900621414185,0.5012315511703491,0.5190972089767456
8,0.019367765635252,0.007569865323603153,0.129593163728714,0.7130910754203796,0.7189291715621948,0.5344827771186829,0.5017361044883728
9,0.016385041177272797,0.006412843707948923,0.11452452093362808,0.7018997669219971,0.7166081070899963,0.5541871786117554,0.5121527910232544
10,0.01490176934748888,0.006659246981143951,0.10880082845687866,0.6988627910614014,0.7255947589874268,0.5628078579902649,0.5243055820465088
11,0.014083346351981163,0.006603463087230921,0.10283520072698593,0.6909893751144409,0.7267728447914124,0.552955687046051,0.5295138955116272
12,0.011021903716027737,0.00590966222807765,0.08902708441019058,0.6883642673492432,0.7396976947784424,0.5480295419692993,0.5364583134651184
13,0.009668326936662197,0.005943930707871914,0.07960226386785507,0.692230761051178,0.7515543103218079,0.5603448152542114,0.5434027910232544
14,0.009541991166770458,0.005322399083524942,0.0793498083949089,0.6972478628158569,0.765956461429596,0.5603448152542114,0.5104166865348816
15,0.008616100065410137,0.005716012790799141,0.07261224836111069,0.6979113221168518,0.7617925405502319,0.5443349480628967,0.4982638955116272
16,0.008106548339128494,0.005313551984727383,0.06841463595628738,0.6955601572990417,0.7565038204193115,0.546798050403595,0.4895833432674408
17,0.008166478946805,0.005131212528795004,0.0648278072476387,0.6804659366607666,0.7694805264472961,0.5554187297821045,0.5069444179534912
18,0.0068407864309847355,0.005076425150036812,0.059193722903728485,0.6959132552146912,0.7581133842468262,0.5541871786117554,0.5260416865348816
19,0.006725246086716652,0.005106829572468996,0.05616017431020737,0.6835565567016602,0.7751649022102356,0.5788177251815796,0.5208333134651184
20,0.006739802658557892,0.005054194014519453,0.055193446576595306,0.6854161620140076,0.7855643630027771,0.6034482717514038,0.5208333134651184
21,0.006760500371456146,0.004896088968962431,0.053544022142887115,0.6817736625671387,0.7848994731903076,0.5763546824455261,0.5190972089767456
22,0.006048386916518211,0.005011086352169514,0.04768410697579384,0.6777268052101135,0.7894076704978943,0.5714285969734192,0.5138888955116272
23,0.005462998989969492,0.0046980855986475945,0.04390222206711769,0.6739956736564636,0.793755054473877,0.6022167205810547,0.5225694179534912
24,0.005985246505588293,0.0047045424580574036,0.04733550176024437,0.6753978729248047,0.8074866533279419,0.5812807679176331,0.5243055820465088
25,0.005360999144613743,0.004702048376202583,0.041127923876047134,0.6595485806465149,0.8061625957489014,0.6083743572235107,0.5225694179534912
26,0.00543470261618495,0.004464975092560053,0.04120240360498428,0.6772035360336304,0.8107085824012756,0.5738916397094727,0.5260416865348816
27,0.00514071574434638,0.0043733553029596806,0.03793121129274368,0.6610982418060303,0.8155115842819214,0.6157635450363159,0.5243055820465088
28,0.004995552357286215,0.0042949821799993515,0.03766297176480293,0.6744446158409119,0.815691351890564,0.5862069129943848,0.5260416865348816
29,0.00517232483252883,0.004352299030870199,0.03868662193417549,,,,
30,0.004846502095460892,0.004179938230663538,0.03525218740105629,,,,
31,0.004671534989029169,0.004106379579752684,0.03295592963695526,,,,
32,0.004528064280748367,0.004032918252050877,0.031129874289035797,,,,
33,0.0043990169651806355,0.004018682055175304,0.029914002865552902,,,,
34,0.004256563726812601,0.003936433233320713,0.028374304994940758,,,,
35,0.004226521588861942,0.0038462472148239613,0.026950962841510773,,,,
36,0.004389141220599413,0.0038327372167259455,0.03021145798265934,,,,
37,0.004053639248013496,0.0037356941029429436,0.025728952139616013,,,,
38,0.003965931013226509,0.0036704791709780693,0.02467518113553524,,,,
39,0.004167257342487574,0.003626408986747265,0.026253174990415573,,,,
40,0.0038968317676335573,0.003600030206143856,0.023936353623867035,,,,
41,0.0039198389276862144,0.0035794489085674286,0.023951932787895203,,,,
42,0.0038630629424005747,0.0035450507421046495,0.023139208555221558,,,,
43,0.003854065667837858,0.0035229166969656944,0.023267187178134918,,,,
44,0.003751081181690097,0.003494703909382224,0.02277667634189129,,,,
45,0.003725682618096471,0.0034521829802542925,0.02142292819917202,,,,
46,0.003715936793014407,0.003430988173931837,0.022371329367160797,,,,
47,0.0036533791571855545,0.003407153068110347,0.02144511789083481,,,,
48,0.0035330888349562883,0.0033721087966114283,0.019377831369638443,,,,
49,0.003539066296070814,0.0033428582828491926,0.020003117620944977,,,,
50,0.0035086802672594786,0.0033226304221898317,0.01992962509393692,,,,
51,0.0034861613530665636,0.0032989317551255226,0.01922743394970894,,,,
52,0.0034173133317381144,0.0032733394764363766,0.018725842237472534,,,,
53,0.003457852406427264,0.0032441793009638786,0.019154967740178108,,,,
54,0.0034305648878216743,0.0032215132378041744,0.019482824951410294,,,,
55,0.0033875301014631987,0.003203372936695814,0.01845386065542698,,,,
56,0.003460940206423402,0.0031894834246486425,0.01900569163262844,,,,
57,0.0033235412556678057,0.0031673284247517586,0.01776689663529396,,,,
58,0.0032983936835080385,0.0031437354627996683,0.01783481054008007,,,,
59,0.0032518100924789906,0.0031235353089869022,0.017307449132204056,,,,
60,0.0032327647786587477,0.0030993542168289423,0.01756518892943859,,,,
61,0.0032110807951539755,0.003076043212786317,0.01709161512553692,,,,
62,0.003148881485685706,0.0030563361942768097,0.016145195811986923,,,,
63,0.0031686245929449797,0.003042990807443857,0.017243333160877228,,,,
64,0.0031670802272856236,0.0030259410850703716,0.017464345321059227,,,,
65,0.0031131249852478504,0.003004707396030426,0.01614302210509777,,,,
66,0.003053429303690791,0.002982950769364834,0.015447689220309258,,,,
67,0.0030696000903844833,0.002962669124826789,0.016321497038006783,,,,
68,0.0030716117471456528,0.0029423157684504986,0.016633737832307816,,,,
69,0.003050761530175805,0.0029238546267151833,0.015763310715556145,,,,
70,0.0029901221860200167,0.002902178792282939,0.015700599178671837,,,,
71,0.002950098132714629,0.002881925320252776,0.015268757939338684,,,,
72,0.002935671480372548,0.002862551249563694,0.015232526697218418,,,,
73,0.002899964340031147,0.0028445469215512276,0.014948278665542603,,,,
74,0.002924517495557666,0.002827391726896167,0.015396376140415668,,,,
75,0.0028884108178317547,0.002807438373565674,0.015525996685028076,,,,
76,0.0028646269347518682,0.002794448984786868,0.014760156162083149,,,,
77,0.0028566429391503334,0.0027735037729144096,0.015675215050578117,,,,
78,0.002802776638418436,0.0027523140888661146,0.014364310540258884,,,,
79,0.0028227532748132944,0.0027353388722985983,0.015356256626546383,,,,
80,0.0027923102024942636,0.0027207364328205585,0.014822235330939293,,,,
81,0.0027581544127315283,0.002701906254515052,0.01453844178467989,,,,
82,0.002733830362558365,0.0026821664068847895,0.014308970421552658,,,,
83,0.002733284141868353,0.002663097344338894,0.014755384996533394,,,,
84,0.002704709069803357,0.002644126769155264,0.014506110921502113,,,,
85,0.0027038424741476774,0.002628323156386614,0.014447228983044624,,,,
86,0.002659193705767393,0.002609241520985961,0.013826541602611542,,,,
87,0.0026519582606852055,0.002590922173112631,0.01428129617124796,,,,
88,0.002633812138810754,0.0025754040107131004,0.014163916930556297,,,,
89,0.0026247582864016294,0.0025552408769726753,0.014354054816067219,,,,
90,0.0025926982052624226,0.002538031432777643,0.014064383693039417,,,,
91,0.0025759541895240545,0.0025210652966052294,0.013994680717587471,,,,
92,0.0025828389916568995,0.0025046663358807564,0.01458808220922947,,,,
93,0.002541337627917528,0.0024851057678461075,0.01378277875483036,,,,
94,0.0025130060967057943,0.002468428108841181,0.013508926145732403,,,,
95,0.002508432138711214,0.0024523595348000526,0.013987596146762371,,,,
96,0.0024974271655082703,0.0024354765191674232,0.013848758302628994,,,,
97,0.0024817646481096745,0.00241761258803308,0.014086376875638962,,,,
98,0.002458844566717744,0.0023986310698091984,0.013923906721174717,,,,
99,0.002440803684294224,0.0023819433990865946,0.013869437389075756,,,,
