epoch,reg_loss,reg_val_loss,reg_mae,clf_loss,clf_val_loss,clf_accuracy,clf_val_accuracy
0,0.3538084030151367,0.007288583554327488,0.7131630182266235,0.8232943415641785,0.7022037506103516,0.4753694534301758,0.4739583432674408
1,0.1710156947374344,0.010360022075474262,0.46599146723747253,0.7597185969352722,0.706630527973175,0.5012315511703491,0.4965277910232544
2,0.10852200537919998,0.006337341386824846,0.35421115159988403,0.725893497467041,0.7041890621185303,0.5357142686843872,0.4878472089767456
3,0.07388074696063995,0.005641859490424395,0.2869069278240204,0.718587338924408,0.7099452614784241,0.546798050403595,0.4913194477558136
4,0.05681774392724037,0.006838640663772821,0.2461412101984024,0.7086078524589539,0.7159035205841064,0.5332512259483337,0.4704861044883728
5,0.04038931429386139,0.005611044820398092,0.20411156117916107,0.7300673127174377,0.7125623226165771,0.5270935893058777,0.4930555522441864
6,0.031137054786086082,0.006987792905420065,0.17970559000968933,0.7153044939041138,0.7132416367530823,0.5541871786117554,0.5017361044883728
7,0.025615185499191284,0.006157710216939449,0.1532660275697708,0.712550699710846,0.7168524265289307,0.5591133236885071,0.4965277910232544
8,0.021659493446350098,0.005169663578271866,0.1369381844997406,0.6730648279190063,0.7341851592063904,0.575123131275177,0.4930555522441864
9,0.018758423626422882,0.006973492447286844,0.12619635462760925,0.6974251866340637,0.7319355607032776,0.5615763664245605,0.5
10,0.01636110432446003,0.00560026103630662,0.11347710341215134,0.7013143301010132,0.7315115332603455,0.5738916397094727,0.4982638955116272
11,0.015235011465847492,0.006200539413839579,0.10666617006063461,0.6834902167320251,0.7375866174697876,0.5665024518966675,0.5052083134651184
12,0.011966444551944733,0.006626076065003872,0.08950676769018173,0.6793641448020935,0.7449465990066528,0.5886699557304382,0.5017361044883728
13,0.012960870750248432,0.005490757524967194,0.09438198804855347,0.699724018573761,0.7483222484588623,0.5541871786117554,0.53125
14,0.010338213294744492,0.0061901588924229145,0.08125089108943939,0.6760873198509216,0.7693102359771729,0.5788177251815796,0.4982638955116272
15,0.009826751425862312,0.005645528435707092,0.07644376903772354,0.6726508140563965,0.7660613059997559,0.568965494632721,0.5017361044883728
16,0.009485896676778793,0.005403744522482157,0.07353448867797852,0.6605212688446045,0.7766322493553162,0.5862069129943848,0.5069444179534912
17,0.009487111121416092,0.00525208655744791,0.07325182855129242,0.6616427302360535,0.7769231796264648,0.6046798229217529,0.5
18,0.008653649128973484,0.00536228995770216,0.07198676466941833,0.6653695106506348,0.7743522524833679,0.6133005023002625,0.4965277910232544
19,0.008662445470690727,0.005126358941197395,0.06924105435609818,0.6742528676986694,0.7706842422485352,0.5800492763519287,0.4982638955116272
20,0.0075165037997066975,0.005114890169352293,0.06199611350893974,0.672173798084259,0.7768468856811523,0.5837438702583313,0.5225694179534912
21,0.00783184077590704,0.005219768267124891,0.05985016003251076,0.6629678606987,0.7792274951934814,0.6071428656578064,0.5173611044883728
22,0.007490974385291338,0.005316493567079306,0.05966147407889366,0.6608832478523254,0.7830164432525635,0.6083743572235107,0.5121527910232544
