epoch,reg_loss,reg_val_loss,reg_mae,clf_loss,clf_val_loss,clf_accuracy,clf_val_accuracy
0,0.31002938747406006,0.010213380679488182,0.622861921787262,0.8855012655258179,0.716910183429718,0.48645320534706116,0.4774305522441864
1,0.09299977123737335,0.013254541903734207,0.3226177394390106,0.779748260974884,0.7225584983825684,0.5049260854721069,0.453125
2,0.05062076076865196,0.01128910481929779,0.23227447271347046,0.7183035612106323,0.7402649521827698,0.5381773114204407,0.4670138955116272
3,0.03242025896906853,0.00963976327329874,0.18097741901874542,0.722446858882904,0.7350696921348572,0.5406404137611389,0.4600694477558136
4,0.02605440840125084,0.010037160478532314,0.15982726216316223,0.7303728461265564,0.7409994602203369,0.5381773114204407,0.4704861044883728
5,0.02111123688519001,0.006655780598521233,0.1429482251405716,0.6921749711036682,0.7489296197891235,0.568965494632721,0.4704861044883728
6,0.01841798797249794,0.006007780786603689,0.13039174675941467,0.7070000767707825,0.7408455014228821,0.5652709603309631,0.4739583432674408
7,0.017729125916957855,0.00682602496817708,0.12339308857917786,0.7040705680847168,0.7182794809341431,0.5652709603309631,0.4809027910232544
8,0.014740058220922947,0.006572546903043985,0.11158335953950882,0.7061209678649902,0.7399991154670715,0.5394088625907898,0.4600694477558136
9,0.012542521581053734,0.005839748773723841,0.0996306911110878,0.689327597618103,0.7520444393157959,0.5862069129943848,0.4809027910232544
10,0.01143375039100647,0.006017284467816353,0.08860783278942108,0.6903579235076904,0.7602583765983582,0.5714285969734192,0.4600694477558136
11,0.011647367849946022,0.005381908267736435,0.08943653851747513,0.6872400641441345,0.7628905773162842,0.5874384045600891,0.4618055522441864
12,0.009409000165760517,0.005145865958184004,0.0788484662771225,0.6943469047546387,0.7618814706802368,0.5677340030670166,0.4618055522441864
13,0.009350248612463474,0.00492094038054347,0.074611596763134,0.6779177188873291,0.7728813290596008,0.5775862336158752,0.4756944477558136
14,0.008439876139163971,0.005621412303298712,0.06963000446557999,0.6712666749954224,0.810421884059906,0.616995096206665,0.484375
15,0.007224020082503557,0.0054052709601819515,0.0625104159116745,0.6827182173728943,0.8176397681236267,0.610837459564209,0.4791666567325592
16,0.00772890355437994,0.005969664081931114,0.062465645372867584,0.6657147407531738,0.8246505856513977,0.5997536778450012,0.4878472089767456
17,0.007796447724103928,0.005382401868700981,0.06215856596827507,0.6744297742843628,0.8280346989631653,0.5825123190879822,0.4878472089767456
18,0.007624038960784674,0.004826188087463379,0.05865810811519623,0.6488018035888672,0.8053234219551086,0.6194581389427185,0.4809027910232544
19,0.007378721609711647,0.004694319795817137,0.05724293366074562,0.6567110419273376,0.8526774644851685,0.6034482717514038,0.4878472089767456
20,0.006456512026488781,0.0046102795749902725,0.05485819652676582,0.6543641686439514,0.9074031114578247,0.6133005023002625,0.5
21,0.00556096900254488,0.004621980711817741,0.04670276865363121,0.6611417531967163,0.8475210666656494,0.5899015069007874,0.5052083134651184
22,0.005645181518048048,0.004389141220599413,0.0464354082942009,0.6644056439399719,0.8360755443572998,0.5935960412025452,0.5
23,0.005641557741910219,0.0041438257321715355,0.045001622289419174,0.668106734752655,0.8477030396461487,0.6034482717514038,0.5052083134651184
24,0.005079078953713179,0.003982012625783682,0.04047528654336929,0.6466075778007507,0.9135468602180481,0.6096059083938599,0.5052083134651184
25,0.0050005665980279446,0.003950015641748905,0.03894146904349327,0.6449939012527466,0.8924562931060791,0.6120689511299133,0.5104166865348816
26,0.004994186107069254,0.003953740932047367,0.03896012157201767,0.6535091400146484,0.8963490724563599,0.6182265877723694,0.4861111044883728
27,0.004747559316456318,0.0038971740286797285,0.03552701696753502,0.636386513710022,0.9069892168045044,0.6416256427764893,0.4861111044883728
28,0.0046270121820271015,0.003821910358965397,0.034102194011211395,0.6527543663978577,0.898222804069519,0.610837459564209,0.5034722089767456
29,0.004669728688895702,0.0037638461217284203,0.03449564799666405,0.636874258518219,0.8277117013931274,0.6293103694915771,0.5069444179534912
30,0.004530864767730236,0.0037704850547015667,0.0319216325879097,0.6399706602096558,0.8751406669616699,0.6133005023002625,0.484375
31,0.004345635883510113,0.0037715258076786995,0.030539168044924736,0.6281102299690247,0.9447050094604492,0.6527093648910522,0.4861111044883728
32,0.004334686789661646,0.0037005795165896416,0.029919587075710297,0.6223289966583252,0.973831832408905,0.6416256427764893,0.5069444179534912
33,0.004243419971317053,0.0037133581936359406,0.02881203219294548,0.6390650868415833,0.970886766910553,0.621921181678772,0.5034722089767456
34,0.004153416492044926,0.003647920675575733,0.028610482811927795,0.6306172609329224,0.9891961216926575,0.6317734122276306,0.5069444179534912
35,0.004095551557838917,0.0036094454117119312,0.026831498369574547,0.6337239742279053,0.9681821465492249,0.6539409160614014,0.4965277910232544
36,0.003960485104471445,0.0035725454799830914,0.025929640978574753,0.6204624772071838,0.9548290967941284,0.6650246381759644,0.5104166865348816
37,0.0039765373803675175,0.0035671081859618425,0.0258489940315485,0.625603437423706,0.943279504776001,0.628078818321228,0.5069444179534912
38,0.0038806276861578226,0.0035402614157646894,0.024578038603067398,0.6110649108886719,0.9579703211784363,0.6564039587974548,0.4982638955116272
39,0.003888165345415473,0.0035150875337421894,0.02470061182975769,0.6181934475898743,0.9412254691123962,0.6440886855125427,0.4895833432674408
40,0.0038152248598635197,0.0034561206120997667,0.02458864077925682,0.6018233299255371,0.9520586729049683,0.6724137663841248,0.4878472089767456
41,0.0038385516963899136,0.0034200320951640606,0.023591583594679832,,,,
