ticker,test_start,test_end,n_test_days,rmse,mae,r2,directional_accuracy,large_move_accuracy,up_day_accuracy,down_day_accuracy,n_large_moves,ic,ic_pval,icir,quintile_Q1_mean_ret,quintile_Q2_mean_ret,quintile_Q3_mean_ret,quintile_Q4_mean_ret,quintile_Q5_mean_ret,quintile_spread,monotonic,strat_ann_return,strat_sharpe,strat_sortino,strat_max_drawdown,strat_calmar,bh_ann_return,bh_sharpe,bh_max_drawdown,beats_buyhold_sharpe
RELIANCE,2024-04-01,2026-07-31,577,0.02147502638399601,0.015239308588206768,-1.5731878280639648,0.5199306759098787,0.49099099099099097,0.7534722222222222,0.28975265017667845,222,0.015441082573560711,0.7112891541853981,-0.09340888281806443,-0.000528313044924289,-0.0006921773310750723,0.00017759499314706773,0.0016939160414040089,-0.0014435802586376667,-0.0009152672137133777,False,-0.0530847890442292,-0.4539802451942103,-0.6551701947130503,-0.31561047687917443,-0.16819717003422455,-0.06134825944900513,-0.4972149868504459,-0.2812448740005493,1
TCS,2024-04-01,2026-07-31,577,0.015253046527504921,0.010898202657699585,-0.03437232971191406,0.4610051993067591,0.49295774647887325,0.6183206106870229,0.32903225806451614,213,0.020031629875609747,0.6310987000063801,0.3183083990904996,-0.0014824530808255076,-0.00024811457842588425,-0.0011332847643643618,-0.0018091266974806786,0.0014396409969776869,0.0029220939613878727,False,-0.12447830109817248,-0.7093253068014062,-1.0218344450659345,-0.3328501482706128,-0.3739770036003394,-0.1737964153289795,-0.9552101565859125,-0.554758608341217,1
HDFCBANK,2024-04-01,2026-07-31,577,0.043044112622737885,0.03362768143415451,-10.26479721069336,0.4731369150779896,0.49489795918367346,0.6254416961130742,0.32525951557093424,196,-0.042996866059903716,0.30251394271271576,-0.14763032096530718,-0.00016123737441375852,0.000840035907458514,0.0023015125188976526,-0.0016246793093159795,-0.0007672625943087041,-0.0006060252198949456,False,-0.15527594995648697,-1.043413278254602,-1.466484915617528,-0.4565078508892033,-0.34013861898329806,0.008401870727539062,-0.17611296125245615,-0.28985312581062317,0
INFY,2024-04-01,2026-07-31,577,0.0171965304762125,0.012414591386914253,-0.054773688316345215,0.5008665511265165,0.484375,0.5106382978723404,0.49480968858131485,256,-0.0244837682975863,0.5572487580398748,0.428001635252494,-0.0007318858406506479,-9.638913616072387e-05,0.0005796578479930758,0.00014445791020989418,-0.0015720302471891046,-0.0008401444065384567,False,-0.10511697441958179,-0.5290636427332212,-0.7594094037677115,-0.5079091701994498,-0.20696018222766802,-0.1136699914932251,-0.5650530450363102,-0.5300190448760986,1
ICICIBANK,2024-04-01,2026-07-31,577,0.012766909785568714,0.00935840792953968,-0.0778963565826416,0.5216637781629117,0.5566502463054187,0.9220338983050848,0.10108303249097472,203,0.11002910180936244,0.008161992832509873,0.6122926683234848,-0.0018131786491721869,0.0012540131574496627,-0.0008555565145798028,0.0011359915370121598,0.003054445143789053,0.004867623560130596,False,0.21807487070641884,0.7769195253312589,1.1651446850097171,-0.16154144465374415,1.3499623652236812,0.12845683097839355,0.38396607286923445,-0.18736587464809418,1
HINDUNILVR,2024-04-01,2026-07-31,577,0.017146611586213112,0.012535681948065758,-0.6939177513122559,0.5216637781629117,0.4950980392156863,0.2826086956521739,0.7457627118644068,204,-0.011151764219681887,0.7892366592194802,-0.19319453734050834,0.0014171068323776126,-0.0013486348325386643,-0.00023706749198026955,-0.0006925884517841041,0.0007162715191952884,-0.0007008353131823242,False,0.018693693584992843,-0.11744662530427619,-0.1800286593138424,-0.3566177190424026,0.05241941885330192,-0.027856111526489258,-0.3411461043275749,-0.32977011799812317,1
ITC,2024-04-01,2026-07-31,577,0.012508608400821686,0.008915671147406101,-0.13465213775634766,0.5303292894280762,0.5297619047619048,0.6727941176470589,0.39932885906040266,168,0.07004708939892139,0.0927618800336758,0.6712416530695428,-0.0015525899361819029,0.0005882251425646245,-0.0008854104089550674,-0.0006913834367878735,0.0006782495765946805,0.0022308395709842443,False,0.05990799724870999,0.05756086024676183,0.0725444157448521,-0.2572011003835744,0.2329227874972804,-0.1054949164390564,-0.8526572311090059,-0.4025590717792511,1
SBIN,2024-04-01,2026-07-31,577,0.0171075277030468,0.011389420367777348,-0.1666935682296753,0.4852686308492201,0.5112107623318386,0.7843137254901961,0.15151515151515152,223,-0.03044994107423364,0.4653805079905132,-0.09914368126362616,0.0016738702543079853,-0.00048494365182705224,0.0006117315497249365,0.000735321780666709,0.0006964222993701696,-0.0009774479549378157,False,-0.14161943124766352,-0.7320627207743363,-0.867975445050537,-0.46417708997313967,-0.3050978480128318,0.1402055025100708,0.3913033669309115,-0.26364994049072266,0
BHARTIARTL,2024-04-01,2026-07-31,577,0.01383717730641365,0.010272113606333733,-0.0570603609085083,0.5511265164644714,0.5885167464114832,0.9603960396039604,0.09701492537313433,209,0.06605372654279243,0.11297644607905928,0.8010545844400466,-0.000941230624448508,0.0013029545079916716,0.001102988375350833,0.0016618827357888222,0.0017444941913709044,0.0026857247576117516,False,0.3953130041236801,1.3675573163528465,1.999501735058666,-0.14558149138071666,2.7154070230664105,0.24867963790893555,0.8425221289052751,-0.17852839827537537,1
KOTAKBANK,2024-04-01,2026-07-31,577,0.015227478928864002,0.010483399964869022,-0.05573904514312744,0.48700173310225303,0.48868778280542985,0.5463917525773195,0.4296028880866426,221,0.012567138785516406,0.763238882644146,0.494089516326529,0.0004177690134383738,0.00019312258518766612,-0.001867342391051352,0.001763721345923841,0.0011399752693250775,0.0007222062558867037,False,-0.05046780227176817,-0.37809851140468703,-0.587121702715879,-0.3070011752857707,-0.16438960608144396,0.05708956718444824,0.07826952621755938,-0.23091886937618256,0
