Date,Close,High,Low,Open,Volume,Ticker,log_return_1d,log_return_5d,log_return_10d,log_return_21d,rsi_14,macd_line,macd_signal,macd_histogram,close_to_sma20,close_to_sma50,roc_5,roc_21,bb_width,bb_position,atr_14_norm,realised_vol_21,volume_zscore,volume_ratio_5d,obv_zscore,rolling_beta,index_ret,relative_return,target_return_1d,target_direction_1,log_return_1d_norm,log_return_5d_norm,log_return_10d_norm,log_return_21d_norm,rsi_14_norm,macd_line_norm,macd_signal_norm,macd_histogram_norm,close_to_sma20_norm,close_to_sma50_norm,roc_5_norm,roc_21_norm,bb_width_norm,bb_position_norm,atr_14_norm_norm,realised_vol_21_norm,volume_zscore_norm,volume_ratio_5d_norm,obv_zscore_norm,rolling_beta_norm,index_ret_norm,relative_return_norm
2020-06-26,782.8980712890625,787.5505795010465,771.8175170961591,777.1218366018753,30921913,RELIANCE.NS,0.013730377474211556,-0.01013996384901183,0.09185372994533984,0.16804116229527546,171.3274065530734,33.7154545908262,30.650668116774366,3.0647864740518322,0.07238343790777124,0.1633360636370902,-0.01008872773925118,0.18298530403602942,0.20235776310360315,0.8577003263804238,0.03176422761587535,0.3258568537652398,-0.49332951051435525,0.7016599234708836,1.2115599459926576,0.90429458498843,0.00910417112670767,0.005497524823521796,-0.010678783413948846,0,0.33378708767115844,-0.2040905115624314,0.6288398393336609,0.7208439039408124,0.021316719271556216,1.2725614051714564,1.3043155634657853,0.26310134225216286,0.5530500319871027,0.6378874507827613,-0.24408295893325493,0.6748274308186648,-0.40691157976880926,0.9072884527270487,-0.40554411178124394,-0.7148600693050482,-0.5803535169801115,-0.989336109737547,0.7405605338897336,-3.0,0.3850515461174277,0.03093725891211186
2020-06-29,774.5821533203125,782.0440974489501,771.165850862043,776.7847811125145,25621946,RELIANCE.NS,-0.010678783413948846,-0.013259219433589228,0.06509777219188882,0.16270860849216556,196.79928348942943,32.82291479701166,31.085117452821827,1.7377973441898362,0.05440942424835149,0.14234063856464663,-0.013171703209544194,0.17669376115833946,0.19873128190078293,0.7737838941506734,0.029844084094595286,0.3291164796708421,-0.7239825566020293,0.6896090516172306,0.8456363832091226,0.9073633760115624,-0.006822760798075913,-0.004488060142487344,-0.011117015959366915,0,-0.31918762409633755,-0.24239558781194415,0.4210354281132433,0.6907496028336747,0.03271262880242623,1.2246653463759747,1.3080263953931748,0.09183545133978901,0.38598877921652336,0.5165887448074499,-0.2819350337401913,0.6412321979240589,-0.42749979657749626,0.6732092772210817,-0.48375858260157656,-0.6990570312490206,-0.7757558777527963,-1.0180960670255954,0.487381925132661,-2.77466574141366,-0.20109055981172086,-0.39882083333429197
2020-06-30,766.018798828125,782.6058621926095,762.1754070277087,780.8078522990025,30276420,RELIANCE.NS,-0.011117015959366915,-0.00981033004003659,0.052031674119827814,0.11409641683932624,235.6522417863375,31.06646457402519,31.0813868770625,-0.014922303037309348,0.03740744964308029,0.12239586997663654,-0.009762365729007239,0.12086018947124177,0.192720642423957,0.6941019351771841,0.029710145045725035,0.3165980647206635,-0.5115791636513846,0.8500511388118297,0.4138426595502369,0.9127044427903823,-0.0009993724909477652,-0.010204884246876399,0.019467840718806362,1,-0.32947232355449985,-0.19776416798711258,0.31870288747686204,0.45990124221066814,0.0501792217546486,1.1448780785828174,1.293429284981405,-0.13425147103392154,0.22819580791543473,0.40191958965705005,-0.237381019909724,0.3805786434373083,-0.4631570660994346,0.45228740267339806,-0.48692997867197435,-0.7340733935116656,-0.5859479625055093,-0.512985719291019,0.1900676591990926,-2.5391545716023707,0.014351212259591238,-0.6414146965729886
2020-07-01,781.07763671875,786.2021202640287,767.7944531593192,773.166189855075,28464103,RELIANCE.NS,0.019467840718806362,0.005627118699159191,0.07295330001296436,0.12351875240507795,198.73656640823225,30.537569392601085,30.97262338017022,-0.43505398756913394,0.051529607784850606,0.13689045060246952,0.005642980670027109,0.13147122214982931,0.18906122107830306,0.7725551410858004,0.028697747158352344,0.3199919799612892,-0.6189299171667196,0.9184116252319027,0.6937951065267101,0.8644567998374632,0.012343324106810436,0.008797570262076398,0.017068855355212416,1,0.4942052251613,-0.001095747075861967,0.47810092220580874,0.5012009531780217,0.033132081572052406,1.113899733456605,1.2749317046691921,-0.18801074995033853,0.3569675419677605,0.47940222688581513,-0.039924651639830736,0.4274336311223543,-0.4837449973540734,0.6634112009460489,-0.5269980489765503,-0.7176527972509971,-0.6754792314647723,-0.29691009393735157,0.38100909489491525,-2.863896689903703,0.5075588714488813,0.19192023370820346
2020-07-02,794.524169921875,797.7964291606368,783.1051378323464,786.6933471641555,28789533,RELIANCE.NS,0.017068855355212416,0.028471274174914338,0.0652290516218921,0.13672062995384462,178.25737993621118,30.847844256491157,30.947667555434407,-0.09982329894324948,0.06359102318758736,0.14832125864216783,0.02888045497003411,0.14650780383705175,0.19295590851160713,0.8295624564083359,0.027256127047755662,0.3222049366735914,-0.5833553388891993,0.9991237136854371,0.9741497210242032,0.8654165721885279,0.011595958752537541,0.0070335204803518205,0.015529056919537838,1,0.4271407273198523,0.28985700424001004,0.41593931981373206,0.5600326844889504,0.023608521908784177,1.1157709774145173,1.2604765477548934,-0.14372113005165799,0.46636725820072,0.539335175109502,0.2577877936246502,0.494635059285362,-0.45604754171825873,0.8140978447795517,-0.5849657829108206,-0.7052658933496165,-0.6398289013779399,-0.042234447864407755,0.5715010944653588,-2.6643840828623997,0.4773124206975622,0.11291417325630806
2020-07-03,806.9586791992188,809.2605842388523,797.9769338084662,803.3027790862244,29434266,RELIANCE.NS,0.015529056919537838,0.03026995362024078,0.020129989771228908,0.12780463710479106,164.86013407147385,31.73132137988,31.10439832032353,0.6269230595564714,0.0733425478089107,0.15959714317362605,0.030732746435994995,0.13633098409969913,0.19872473498757318,0.8690660239828574,0.025692872839148936,0.3173962396569235,-0.5373687257322094,1.032156406534183,1.2286473563525466,0.8765518289027987,0.005260117338821228,0.010918291445950768,0.03511636024217165,1,0.38349913295733834,0.31153557832724943,0.06394529472809628,0.5145951310885265,0.01734200058696706,1.1396091431570048,1.2539993669149065,-0.048412716113704124,0.5539210473537163,0.5979875159506469,0.28044584620421353,0.4443833191336944,-0.41646567753624025,0.9151731254865068,-0.647751938710325,-0.7157503223340053,-0.5953905914459132,0.06210611889147817,0.7427916201416502,-2.4099416762629873,0.23936943727986923,0.2839464678917672
2020-07-06,835.799560546875,838.5978646000791,808.8542664677218,814.6766299428286,47016185,RELIANCE.NS,0.03511636024217165,0.07606509727636132,0.06280587784277195,0.16171888390506226,145.43245284093427,34.362590898816734,31.756036836022172,2.6065540627945616,0.10215422322204248,0.19331300497274317,0.07903281396834272,0.1755297345393314,0.21156862607734822,0.9828420220713415,0.026546117356050457,0.3322176726603748,0.3444093494847096,1.4335906706276984,1.640791081875066,0.7315994247469323,0.014627632603289031,0.024414792644195923,-0.01542780304421311,0,0.9111826971179289,0.8952452355806747,0.3962480953522434,0.6713913865778164,0.008289820938468865,1.2296916463639924,1.26823659486516,0.21085203047766837,0.8171952824315315,0.7819830619168713,0.8997546306426214,0.6246270553369462,-0.33143217953342574,1.2153040244469557,-0.6080593015599906,-0.6625841387236624,0.18489625107289273,1.3233382195449064,1.019805301852741,-3.0,0.5878327444529647,0.8786974388498794
2020-07-07,823.0039672851562,841.463976689244,815.2634586435034,839.5006450288294,35189589,RELIANCE.NS,-0.01542780304421311,0.07175431019151497,0.06194398015147856,0.15403426550900115,169.72189763634736,35.011799282817265,32.40718932538119,2.6046099574360753,0.07591463915519636,0.16863624137339195,0.07439134463045627,0.1665308578672311,0.20549114813567307,0.869430215578311,0.027609025918482476,0.33773955350611523,-0.3057595612230003,1.041767514137119,1.1124035271690158,0.7256558933821506,0.003339009534036716,-0.01785077499064604,-0.014055274031160659,0,-0.4665283735318421,0.8337757877570486,0.3875650484426669,0.6305273258214802,0.019526025747353414,1.242288569031867,1.282159194693083,0.20973451960768186,0.5676947297111616,0.6351341051203588,0.8336973959324893,0.5785100117448247,-0.36907853623978615,0.8950204750048695,-0.5597299184047102,-0.6401476793684279,-0.3916455123846769,0.08110270777144588,0.6476581398177331,-3.0,0.16229627545511133,-1.0091010612338067
2020-07-08,811.517333984375,828.1944614496679,807.9065609306946,823.2748204715693,26204095,RELIANCE.NS,-0.014055274031160659,0.03823119544154796,0.04385831414070716,0.1608060254332202,202.40241854462903,34.20513083850665,32.76677762800628,1.4383532105003667,0.053679335087201574,0.14663164331470857,0.038971410567456344,0.17445713190394052,0.197841425303882,0.7713250523986616,0.027599837095094625,0.3313796736842021,-0.8036676468586462,0.7862785268580896,0.6837331213810609,0.7602027670099725,-0.008732782060989626,-0.007416588944701295,0.014493916870153743,1,-0.42694722403192553,0.39878960648370665,0.24376081059854168,0.6585061618751297,0.03467644717350234,1.1993790096567534,1.2837936141265651,0.055088534669499555,0.35671902596050936,0.5048081364825137,0.37190466449962806,0.6120730973504298,-0.41686391489932106,0.6202891717583519,-0.5572607702588412,-0.6566954135669135,-0.8300398860936217,-0.7274840118268171,0.34663259370042787,-2.7183949871239976,-0.29258657749639555,-0.5342586346263563
2020-07-09,823.3650512695312,828.2170013060332,806.2139692943585,816.4820787561033,36418942,RELIANCE.NS,0.014493916870153743,0.03565625695648947,0.06412753113140394,0.152785885199871,184.35933199619316,34.128440634646154,33.039110229334256,1.0893304053118982,0.0599690880624848,0.15724281628145298,0.036299564493415204,0.16507549232812768,0.18029949261166298,0.8326081909262436,0.027138773527662023,0.32799652988069583,-0.30689843479386436,1.0449414364466891,1.2157212425211137,0.7410391345955183,0.01000976742529668,0.007076287479809482,0.029065083299289626,1,0.3559414279819062,0.3637454442957178,0.40238183689344076,0.6160527802198842,0.026077161949869466,1.1851897192803877,1.281873600562255,0.008656512200362265,0.41390962584087665,0.561364813580958,0.33557098145832764,0.5640800849902448,-0.5289509270708692,0.7841061424187701,-0.5741026965135438,-0.6634273982424279,-0.3835344444104942,0.09690202969032057,0.7145272077935433,-2.69198733770311,0.41627445879346087,0.12084894111922483
