Date,Close,High,Low,Open,Volume,Ticker,log_return_1d,log_return_5d,log_return_10d,log_return_21d,rsi_14,macd_line,macd_signal,macd_histogram,close_to_sma20,close_to_sma50,roc_5,roc_21,bb_width,bb_position,atr_14_norm,realised_vol_21,volume_zscore,volume_ratio_5d,obv_zscore,rolling_beta,index_ret,relative_return,target_return_1d,target_direction_1d,log_return_1d_norm,log_return_5d_norm,log_return_10d_norm,log_return_21d_norm,rsi_14_norm,macd_line_norm,macd_signal_norm,macd_histogram_norm,close_to_sma20_norm,close_to_sma50_norm,roc_5_norm,roc_21_norm,bb_width_norm,bb_position_norm,atr_14_norm_norm,realised_vol_21_norm,volume_zscore_norm,volume_ratio_5d_norm,obv_zscore_norm,rolling_beta_norm,index_ret_norm,relative_return_norm
2020-06-26,334.8224792480469,343.8380312569579,331.9451735471518,341.0566415999861,34596104,ICICIBANK.NS,-0.005427726129379382,-0.04124581534444637,0.014135579057494076,0.06585719075251809,2490.8312330059407,5.011562180227088,4.730540793206496,0.28102138702059243,-0.00542013632738525,0.026924852054416082,-0.04040678178383916,0.06807417540482108,0.11929686000301906,0.4545659766128958,0.05122253725773636,0.46294150464664013,-1.1058032054404456,0.7358315190633262,1.364301626763258,1.837244483914772,0.00910417112670767,-0.022154314312539183,-0.017336546811544822,0,-0.04209668875480007,-0.2768515614878479,0.3862096746869348,0.7517344968324658,1.0621364173338943,0.9593354935266906,1.0391410895465814,0.021866990703544004,0.2868356411013193,1.1118415143316291,-0.32626999890008146,0.7730671328042299,-0.724373388044125,0.0705402530872656,-0.06995285467489218,-0.545328794984034,-1.1317251252170728,-1.1065625346786023,0.6761314028300477,3.0,0.3850515461174277,-0.8164268649711687
2020-06-29,329.0678405761719,331.46559512821415,324.65596634652115,331.1299036370353,27384244,ICICIBANK.NS,-0.017336546811544822,-0.06883733529555965,0.035601487217063056,0.033037545179515355,-1731.0932769106848,3.9586904446807694,4.576170723501351,-0.6174802788205813,-0.02304990020773867,0.009209644787503635,-0.0665214882647458,0.033589344810315946,0.11702318379331517,0.30303133566722024,0.04928851252702406,0.46586339482282474,-1.570210707046727,0.6158403337245555,0.9560944762499172,1.8379991022344504,-0.006822760798075913,-0.004796318589920891,0.0240456359993194,1,-0.31718473136465686,-0.5920196444127211,0.5418373500520294,0.5888275221993224,-0.9211222530506415,0.8890424003325621,1.020237377154238,-0.13685784489400987,0.11761363664720859,0.9764232422063817,-0.639763421341545,0.5722935449311892,-0.7298454755754246,-0.3894484758697027,-0.12755682507867253,-0.5331499783332067,-1.5129806641425583,-1.5358757670720165,0.3636372316001126,3.0,-0.20109055981172086,-0.06067584919873695
2020-06-30,337.0763854980469,339.95369129224457,332.13698713576633,332.8083701955331,47526095,ICICIBANK.NS,0.0240456359993194,-0.06792046403173198,0.024482812683495624,0.03533026663261415,1288.7837414239284,3.727535939719303,4.406443766744942,-0.6789078270256388,0.0002918286369637535,0.035238576497547136,-0.06566521615627563,0.03596179592038862,0.11673267818562685,0.502499973799108,0.0460077989069979,0.467180581200069,0.1378148921734141,1.0011179570530901,1.4432031788140052,1.8440597213863963,-0.0009993724909477652,0.025888538556537766,0.03522359677816614,1,0.6436483031352516,-0.5780913509716622,0.456849805793564,0.5959468273765715,0.5012936284751874,0.8687481366596185,1.0007274059729303,-0.14717823608336786,0.34014595542044845,1.137242698342627,-0.6255903613729221,0.5820130480297883,-0.7258306163583804,0.22039321302046705,-0.22561431059798853,-0.5258591267684067,-0.028155222190064576,-0.09312013151388716,0.7301828611402655,2.8617316637946306,0.014351212259591238,1.2584806735295095
2020-07-01,349.1610107421875,350.79149556675685,337.2202104780125,339.7618244826346,36922617,ICICIBANK.NS,0.03522359677816614,0.04480141023009763,0.06262655959199752,0.04393999244478209,423.03459148185266,4.467968629783854,4.418748739352725,0.04921989043112962,0.035093005592319315,0.0721795193390331,0.045820150101910206,0.044919649933485406,0.12030510804821239,0.7917000463376472,0.04373074625072785,0.47387391173673477,-0.6975718829642809,0.8533787390478266,1.6825493621472416,1.8910470406120643,0.012343324106810436,0.011881790254666711,-0.003301658515157709,0,0.8981233277958278,0.7263416615579751,0.735888717569766,0.633531910726679,0.09082010236241451,0.9068038556593423,0.9934173186777445,-0.01695765213101636,0.6714204876676348,1.363683208916225,0.7316761483021823,0.6291883054123133,-0.703372258922715,1.0985036657658223,-0.2933236302368138,-0.502592399341228,-0.7521807023707429,-0.6447116999966168,0.9053326543635553,2.9150647172603312,0.5075588714488813,0.6398181291591212
2020-07-02,348.0101013183594,355.7308592632921,346.5714485880391,351.0312661981389,50964311,ICICIBANK.NS,-0.003301658515157709,0.03320330132140367,0.03035833553983943,0.01667399193968701,457.1831244362734,4.905352251953161,4.516069441872812,0.38928281008034915,0.02948579474910007,0.06669760860614216,0.0337606827921777,0.016813778797520662,0.12278551008139414,0.7401406707481532,0.041534570563235375,0.46738571510308785,0.6858862686621292,1.290932687906728,0.9577657573868101,1.9602883697680622,0.011595958752537541,-0.02603308159406722,-0.005111609646007162,0,-0.0027798241406653264,0.5880285302614684,0.49237199169471285,0.49722297555282263,0.10658012314650477,0.9262974840735262,0.9918090032396653,0.04390170329808752,0.6131018691177369,1.3021286435039623,0.5807717674477731,0.4643518943183217,-0.6864422632964929,0.9316149286921525,-0.3584951191526783,-0.5190077534955357,0.4562206538205903,0.996043122157063,0.3480783950529023,3.0,0.4773124206975622,-1.0069433383349646
2020-07-03,346.2357482910156,352.13421848141576,345.08481442824603,349.7364639918658,28779044,ICICIBANK.NS,-0.005111609646007162,0.03351941780477576,-0.007726397539670596,0.03710640503918636,527.939183398214,5.050586446605962,4.622972842819442,0.42761360378652036,0.023685060242881528,0.059698227144001415,0.03408752324097519,0.037803442479308114,0.12408461659657524,0.6908782965408722,0.038895783298415004,0.45814609574313836,-1.382374369228534,0.7511117593239385,0.5089535050968795,1.9223924111376522,0.005260117338821228,-0.015223619299850673,0.0023519198876115993,1,-0.04509829640842388,0.5884026895422638,0.2062450610490966,0.5935972485452861,0.13976115873436384,0.9281199313897407,0.9909126644436635,0.050607079425489705,0.5533563587023939,1.233542003291487,0.5815279164048713,0.582104025629281,-0.6754247603648258,0.7741960310001729,-0.4369630248640217,-0.5436555388941421,-1.3430195237940499,-1.0296394399515454,0.002679544907307498,2.653847945083699,0.23936943727986923,-0.5277211133201659
2020-07-06,347.051025390625,352.80563674124096,345.756231982843,352.80563674124096,33334074,ICICIBANK.NS,0.0023519198876115993,0.05320788450393219,-0.01562945079162748,0.01293386700114558,497.49821125850116,5.171853730173382,4.73274902029023,0.43910470988315176,0.025797353416077584,0.061638767958217544,0.054648867488740205,0.01301787123478837,0.12495411418430451,0.7064546140355744,0.0363387963038707,0.44925339394880426,-0.8755664143040752,0.843788924120175,0.8710647373672887,2.0345402802916075,0.014627632603289031,-0.027408587849086723,0.03849222599288211,1,0.13034235210096376,0.8131670279916389,0.14617146576880297,0.4718640440567663,0.12458130915238781,0.9285428452093685,0.9902801403622765,0.052477971924826984,0.5703850598720552,1.2261822180286766,0.828814653047283,0.4356754916096347,-0.6666370065946545,0.8157857787034449,-0.5126980523235419,-0.5671572951682023,-0.8918701241395645,-0.676379867378936,0.2812629648171878,2.9957983327160704,0.5878327444529647,-1.047990087358763
2020-07-07,360.6702270507813,362.540487304184,347.2907742476628,348.1539600302084,46030825,ICICIBANK.NS,0.03849222599288211,0.06765447449749491,-0.0002659895342371361,0.04417383423911752,274.364402130411,6.294357247394828,5.045070665711149,1.2492865816836787,0.061913084829027465,0.10063943828503774,0.06999553385465851,0.04516402439072942,0.13698797515318195,0.9519599969252437,0.036030575661761835,0.46772245458821105,0.2996864058011625,1.174070817651981,1.3602063747072948,2.030861418820156,0.003339009534036716,0.031711160353134274,-0.01906091799638349,0,0.9781474610289154,0.9745770089555601,0.2610094208423635,0.6221134389005536,0.016891112078821928,0.9888925753940648,1.0028743407125205,0.19885370908961947,0.9154493747747432,1.458852289525668,1.00952056482437,0.619050844366765,-0.6037084485741528,1.5484963673555807,-0.5195603870595259,-0.5076939512596637,0.13707903708734331,0.5678049341325128,0.6567566653887192,2.7748783802827313,0.16229627545511133,1.5177066349676915
2020-07-08,353.8606262207031,363.49958775008986,352.5178602646298,362.4445699000885,46315597,ICICIBANK.NS,-0.01906091799638349,0.013369959722945286,0.05817136995304269,0.05687943009120592,393.2203319368336,6.558864982449222,5.347829529058765,1.2110354533904575,0.03952269815878884,0.078529949904248,0.013459737295770768,0.05852817605558136,0.14162344187285378,0.7790689001491107,0.03596528644075616,0.45810145163858207,0.2819296912811966,1.1273179033139633,0.6493507009943682,2.0434865635492296,-0.008732782060989626,-0.00121559519234744,0.003787371898028483,1,-0.3826783634649071,0.3368120261140864,0.699680306379885,0.6803865615640252,0.07414564857157667,0.9970911285502715,1.0147082777515508,0.19110508735757084,0.6917510276628202,1.288568799247874,0.31134139722134474,0.6923829654056965,-0.5773299040598122,1.0089767735560078,-0.51899085786047,-0.5339812718502794,0.12088976053829863,0.38895206236235563,0.10267629294941777,2.659141090534727,-0.29258657749639555,0.08137410389286955
2020-07-09,355.203369140625,360.6222886345652,350.35988732999766,358.17659067209024,35144463,ICICIBANK.NS,0.003787371898028483,0.02045899013613147,0.05366229145753507,0.047980430768771655,368.5188103877684,6.798468882642965,5.637957399775605,1.16051148286736,0.03920700906686436,0.0819582985399574,0.020669709859040042,0.049150124062209644,0.14125028045571383,0.7775711944809695,0.03490430233001479,0.45669428598168343,-0.7428239755460173,0.9267858917514521,1.0661861586439534,2.033349485878301,0.01000976742529668,-0.01656598354995989,-0.027372679528935493,0,0.1594519586445445,0.4182182662814422,0.6613967530841024,0.6320614650209682,0.06185639972546285,1.003734045520654,1.0255920284322817,0.18113177529384597,0.6840609952419932,1.289329761566877,0.3986683258176768,0.6332747191868838,-0.575674001446163,0.9952566789857807,-0.5489918295035537,-0.5351126942394379,-0.7794004700355774,-0.3713708981357922,0.42649515436372337,2.473395978271564,0.41627445879346087,-0.5872138348021667
