date,actual,predicted,position,strategy_ret,buyhold_ret,strategy_equity,buyhold_equity
2024-04-01,0.001463689,0.007379322,1.0,0.001463689,0.001463689,1.0014637,1.0014637
2024-04-02,-0.010376727,0.008641081,1.0,-0.010376727,-0.010376727,0.9910717,0.9999848
2024-04-03,-0.0059123193,0.005944803,1.0,-0.0059123193,-0.0059123193,0.9852122,1.0000001
2024-04-04,-0.0019330442,0.005625568,1.0,-0.0019330442,-0.0019330442,0.9833078,1.0
2024-04-05,0.017566256,0.0065597217,1.0,0.017566256,0.017566256,1.0005808,1.0
2024-04-08,-0.015137874,0.0046637245,1.0,-0.015137874,-0.015137874,0.9854341,1.0
2024-04-09,0.010821642,0.0050552837,1.0,0.010821642,0.010821642,0.99609816,1.0
2024-04-10,-0.00843316,0.0040833917,1.0,-0.00843316,-0.00843316,0.9876979,1.0
2024-04-12,-0.0015860082,0.004030945,1.0,-0.0015860082,-0.0015860082,0.98613137,1.0
2024-04-15,0.00063133374,0.0030490987,1.0,0.00063133374,0.00063133374,0.98675394,1.0
2024-04-16,-0.0009727134,-0.0029761286,-1.0,0.0009727134,-0.0009727134,0.9877138,1.0
2024-04-18,0.003953008,-0.0030730632,-1.0,-0.003953008,0.003953008,0.9838094,1.0
2024-04-19,0.006593307,-0.0076292846,-1.0,-0.006593307,0.006593307,0.9773229,1.0
2024-04-22,-0.013966706,0.0024222326,1.0,-0.013966706,-0.013966706,0.96367294,1.0
2024-04-23,-0.0062897913,0.0021402065,1.0,-0.0062897913,-0.0062897913,0.9576116,1.0
2024-04-24,0.006735074,0.001002949,1.0,0.006735074,0.006735074,0.9640612,1.0
2024-04-25,-0.0050986097,0.00096290227,1.0,-0.0050986097,-0.0050986097,0.95914584,1.0
2024-04-26,0.008551718,0.00096787995,1.0,0.008551718,0.008551718,0.96734816,1.0
2024-04-29,0.0013471569,0.0009212136,1.0,0.0013471569,0.0013471569,0.96865135,1.0
2024-04-30,-0.00030675554,0.0018013986,1.0,-0.00030675554,-0.00030675554,0.96835417,1.0
2024-05-02,-0.02244502,0.002087041,1.0,-0.02244502,-0.02244502,0.94661945,1.0
2024-05-03,-0.010145411,0.002754703,1.0,-0.010145411,-0.010145411,0.9370156,1.0
2024-05-06,-0.012797169,0.002373667,1.0,-0.012797169,-0.012797169,0.92502445,1.0
2024-05-07,0.012110086,0.0026835115,1.0,0.012110086,0.012110086,0.9362266,1.0
