,fold,test_start,test_end,n_days,ann_return,sharpe,dir_accuracy,ic,max_drawdown,n_trades,total_cost
0,0,2025-04-07,2025-07-08,63,0.10846113703353844,0.280172128342249,0.5396825396825397,0.1697388632872504,-0.08140752619909593,7,0.014108584412271571
1,1,2025-05-26,2025-08-21,63,-0.2307738974973219,-1.732060598296741,0.5238095238095238,-0.09307795698924731,-0.13568340270300594,6,0.011932320343559642
2,2,2025-07-08,2025-10-07,63,-0.04593822227923017,-0.3648169478560538,0.5396825396825397,0.04214669738863287,-0.13034794565790955,5,0.009756056274847713
3,3,2025-08-21,2025-11-21,63,0.38359528150748323,1.2012292759963494,0.5555555555555556,0.21558179723502308,-0.10109974326897289,10,0.020887376618407356
4,4,2025-10-07,2026-01-06,63,-0.22410476727802497,-1.505426641633837,0.47619047619047616,0.03523425499231951,-0.12197160575082602,6,0.012182320343559642
5,5,2025-11-21,2026-02-20,63,-0.09876414742503992,-0.543771516307829,0.42857142857142855,-0.3029953917050691,-0.10034245405011877,4,0.007579792206135785
6,6,2026-01-06,2026-04-10,63,-0.07763983975973987,-0.35261487591975155,0.47619047619047616,-0.14588133640552997,-0.19049094958760815,7,0.014358584412271572
7,7,2026-02-20,2026-05-27,63,0.08064297194054837,0.19166259583298068,0.5238095238095238,-0.017785351688008932,-0.10020312278080018,6,0.012182320343559642
8,8,2026-04-10,2026-07-13,63,1.2001164436996987,2.1082553638974106,0.5396825396825397,0.17056310326407628,-0.11126295428941141,5,0.010006056274847713
