,fold,test_start,test_end,n_days,ann_return,sharpe,dir_accuracy,ic,max_drawdown,n_trades,total_cost
0,0,2025-04-07,2025-07-08,63,0.051512675919269,-0.016631950227138485,0.5396825396825397,-0.036338325652841785,-0.05246817066830143,9,0.018461112549695426
1,1,2025-05-26,2025-08-21,63,-0.24382545503282838,-3.170348596938114,0.42857142857142855,0.13954493087557604,-0.06839364747082179,1,0.0010509999999999999
2,2,2025-07-08,2025-10-07,63,-0.06428382977279479,-0.9848907669913703,0.49206349206349204,0.18610791090629802,-0.06256871483780953,3,0.0054035281374238565
3,3,2025-08-21,2025-11-21,63,0.5137067824595036,2.82681128600441,0.5873015873015873,0.1487135176651306,-0.034826116849675424,5,0.009756056274847713
4,4,2025-10-07,2026-01-06,63,-0.3505536596236869,-1.9236122962859954,0.4603174603174603,0.1856758832565284,-0.16978178811265401,3,0.0054035281374238565
5,5,2025-11-21,2026-02-20,63,-0.6103260999554803,-3.516294484039197,0.4126984126984127,0.04829167017041022,-0.23727519317117535,4,0.007829792206135784
6,6,2026-01-06,2026-04-10,63,-0.08288617324731762,-0.5932489244715285,0.5396825396825397,-0.007968509984639018,-0.08345027235629357,6,0.012182320343559642
7,7,2026-02-20,2026-05-27,63,0.08250301566698859,0.17055075626900695,0.5555555555555556,0.08887875479176394,-0.08162551672653026,3,0.005653528137423857
8,8,2026-04-10,2026-07-13,63,0.3197130765048468,1.3278498335481679,0.5873015873015873,0.1423359417894698,-0.056790122396009744,3,0.005653528137423857
