date,actual,predicted,rolling_vol,desired_pos,position,delta,cost,gross_ret,net_ret,capital,strategy_equity,buyhold_equity,buyhold_ret,n_trades
2024-05-03,-0.028856695,0.000496316,0.2508576028511856,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,0.9711433,-0.028856695,0
2024-05-06,-0.0073305364,0.0007363283,0.2735542932349249,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,0.9640243,-0.0073305364,0
2024-05-07,0.011037473,0.00035046955,0.2752087732846018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9746647,0.011037473,0
2024-05-08,0.011038989,0.00012550617,0.2697973100860535,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.98542404,0.011038989,0
2024-05-09,-0.002993056,0.00019904767,0.27081160091680856,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,0.9824746,-0.002993056,0
2024-05-10,-0.010515696,0.00021909448,0.27159070330142693,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,0.97214323,-0.010515696,0
2024-05-13,0.011555152,0.00034636038,0.2740346347369981,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.98337656,0.011555152,0
2024-05-14,0.0025633622,0.0005170074,0.26966144248358964,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9858973,0.0025633622,0
2024-05-15,-0.010231358,0.0006073586,0.26125184404686286,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,0.9758102,-0.010231358,0
2024-05-16,0.0072401296,0.00065418665,0.260392374275194,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9828753,0.0072401296,0
2024-05-17,0.015529638,0.0002728,0.25770692671842044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.99813896,0.015529638,0
2024-05-21,0.0022008317,0.00082543225,0.2560284961229338,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0003357,0.0022008317,0
2024-05-22,0.016173808,0.0014017958,0.25607574670590166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.016515,0.016173808,0
2024-05-23,-0.0042151054,0.0017096048,0.25321930407947657,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0122303,-0.0042151054,0
2024-05-24,0.0061361524,-0.00037740215,0.2544890082617187,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0184416,0.0061361524,0
2024-05-27,-0.0030632934,-0.0026859175,0.2541744873286592,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0153217,-0.0030632934,0
2024-05-28,-0.010279491,-0.0076964987,0.19684202559219993,-0.0993179052214858,-0.0993179052214858,-0.0993179052214858,0.00019396145335750308,-0.0,-0.00019396145335750308,0.9998060385466425,0.9998060385466425,1.0048847,-0.010279491,1
2024-05-29,0.0038822645,-0.006005537,0.19349359144512263,-0.08020264603250168,-0.08020264603250168,0.019115259188984116,5.583294297013575e-05,-0.0003855784,-0.0004414113445897042,0.9993647128188387,0.9993647128188387,1.008786,0.0038822645,2
2024-05-30,0.0054341406,-0.007996754,0.16439132758456787,-0.14795373178253035,-0.14795373178253035,-0.06775108575002867,0.00014590595304263178,-0.00043583245,-0.0005817384043731296,0.9987833439854166,0.9987833439854166,1.0142679,0.0054341406,3
2024-05-31,0.08680567,-0.0062611853,0.1650911566194135,-0.11486267846935211,-0.11486267846935211,0.03309105331317824,7.942422041994463e-05,-0.012843223,-0.012922647509075225,0.9858764188931576,0.9858764188931576,1.1023122,0.08680567,4
2024-06-03,-0.15553187,5.9120735e-05,0.3339681257483953,0.0,0.0,0.11486267846935211,0.00018793606226855464,0.017864807,0.01767687051529473,1.0033036286940145,1.0033036286940145,0.9308675,-0.15553187,5
2024-06-04,0.018595304,0.0027466442,0.6374232561351794,0.0,0.0,0.0,0.0,0.0,0.0,1.0033036286940145,1.0033036286940145,0.9481773,0.018595304,5
2024-06-05,0.033861507,0.004099284,0.6340944259533761,0.0,0.0,0.0,0.0,0.0,0.0,1.0033036286940145,1.0033036286940145,0.980284,0.033861507,5
2024-06-06,0.015787609,0.0028590001,0.6438178744549301,0.0,0.0,0.0,0.0,0.0,0.0,1.0033036286940145,1.0033036286940145,0.9957603,0.015787609,5
2024-06-07,0.0022265196,-0.000860348,0.6448460329473947,0.0,0.0,0.0,0.0,0.0,0.0,1.0033036286940145,1.0033036286940145,0.9979774,0.0022265196,5
2024-06-10,0.0044981516,-0.0030778975,0.6440354991674729,0.0,0.0,0.0,0.0,0.0,0.0,1.0033036286940145,1.0033036286940145,1.0024664,0.0044981516,5
2024-06-11,0.0042397184,0.0018259302,0.6439085317061062,0.0,0.0,0.0,0.0,0.0,0.0,1.0033036286940145,1.0033036286940145,1.0067166,0.0042397184,5
