date,actual,predicted,desired_pos,position,delta,cost,gross_ret,net_ret,capital,strategy_equity,buyhold_equity,buyhold_ret,n_trades
2024-04-01,0.0046836203,0.0043339473,1.0,1.0,1.0,0.0010509999999999999,0.0,-0.0010509999999999999,0.998949,0.998949,1.0046836,0.0046836203,1
2024-04-02,-0.01163574,0.011048674,1.0,1.0,0.0,0.0,-0.01163574,-0.011635740287601948,0.9873255084126591,0.9873254888754402,0.9929934,-0.01163574,1
2024-04-03,0.018745769,0.009083778,1.0,1.0,0.0,0.0,0.018745769,0.018745768815279007,1.0058336951730131,1.0058336642353316,1.0116079,0.018745769,1
2024-04-04,-0.0075094993,0.010568817,1.0,1.0,0.0,0.0,-0.0075094993,-0.0075094993226230145,0.9982804172282422,0.998280357015085,1.0040113,-0.0075094993,1
2024-04-05,-0.0014792877,0.005995138,1.0,1.0,0.0,0.0,-0.0014792877,-0.0014792877482250333,0.9968036928781016,0.9968036131136588,1.002526,-0.0014792877,1
2024-04-08,-0.018726302,0.0009780084,1.0,1.0,0.0,0.0,-0.018726302,-0.018726302310824394,0.9781372585775611,0.9781371673099705,0.9837524,-0.018726302,1
2024-04-09,0.008619171,0.0030119945,1.0,1.0,0.0,0.0,0.008619171,0.008619170635938644,0.9865680087338365,0.9865678984603687,0.9922316,0.008619171,1
2024-04-10,-0.025074666,0.0034482598,1.0,1.0,0.0,0.0,-0.025074666,-0.025074666365981102,0.9618301505803636,0.9618300375590879,0.96735173,-0.025074666,1
2024-04-12,-0.0051801815,0.0055270316,1.0,1.0,0.0,0.0,-0.0051801815,-0.005180181469768286,0.956847697200924,0.9568475834214578,0.96234065,-0.0051801815,1
2024-04-15,0.012502773,0.010713708,1.0,1.0,0.0,0.0,0.012502773,0.012502772733569145,0.9688109625400756,0.9688108312976411,0.9743726,0.012502773,1
2024-04-16,-0.033694364,0.012299983,1.0,1.0,0.0,0.0,-0.033694364,-0.03369436413049698,0.9361674715400206,0.936167366374329,0.94154173,-0.033694364,1
2024-04-18,0.010708035,0.0038510442,1.0,1.0,0.0,0.0,0.010708035,0.010708034969866276,0.946192040490978,0.9461918792711129,0.95162386,0.010708035,1
2024-04-19,0.00941377,0.01534299,1.0,1.0,0.0,0.0,0.00941377,0.009413770399987698,0.9550992266479056,0.955099112376904,0.9605822,0.00941377,1
2024-04-22,0.010028018,0.005159144,1.0,1.0,0.0,0.0,0.010028018,0.010028017684817314,0.9646769661304095,0.964676863166573,0.9702149,0.010028018,1
2024-04-23,-0.00642023,0.0023514838,1.0,1.0,0.0,0.0,-0.00642023,-0.0064202300272881985,0.9584834942975518,0.9584834158030408,0.96398586,-0.00642023,1
2024-04-24,-0.010764771,0.0015382101,1.0,1.0,0.0,0.0,-0.010764771,-0.01076477114111185,0.9481656325903042,0.9481655611893699,0.95360875,-0.010764771,1
2024-04-25,0.003829014,-0.0013139541,-1.0,-1.0,-2.0,0.0024262640687119285,0.003829014,0.001402749953191348,0.949495671887038,0.949495600385946,0.95726013,0.003829014,2
2024-04-26,0.0055775153,-0.0028816625,-1.0,-1.0,0.0,0.0,-0.0055775153,-0.005577515345066786,0.9441998553763112,0.94419977410472,0.96259934,0.0055775153,2
2024-04-29,-0.0043369327,0.0014743102,1.0,1.0,2.0,0.0019262640687119283,0.0043369327,0.002410668605338403,0.946476008324832,0.946475926857322,0.95842457,-0.0043369327,3
2024-04-30,-0.0058120606,-0.0037276535,-1.0,-1.0,-2.0,0.0024262640687119285,-0.0058120606,-0.008238324622292452,0.9386786317210405,0.9386785509246862,0.95285416,-0.0058120606,4
2024-05-02,-0.009729247,0.0006143488,1.0,1.0,2.0,0.0019262640687119283,0.009729247,0.007802982540201017,0.9460031246952196,0.9460030432684128,0.9435836,-0.009729247,5
2024-05-03,-0.07451287,0.0066819196,1.0,1.0,0.0,0.0,-0.07451287,-0.07451286911964417,0.8755137458711204,0.8755136423185684,0.8732745,-0.07451287,5
2024-05-06,-0.0028240536,0.01742435,1.0,1.0,0.0,0.0,-0.0028240536,-0.0028240536339581013,0.8730412354570342,0.8730411448353987,0.8708083,-0.0028240536,5
2024-05-07,-0.00338394,0.01430385,1.0,1.0,0.0,0.0,-0.00338394,-0.0033839400857686996,0.8700869211023401,0.8700868259088649,0.86786157,-0.00338394,5
2024-05-08,-0.004350088,0.02440666,1.0,1.0,0.0,0.0,-0.004350088,-0.004350088071078062,0.8663019854088442,0.8663018715866766,0.86408633,-0.004350088,5
2024-05-09,0.013510925,0.037053354,1.0,1.0,0.0,0.0,0.013510925,0.013510924763977528,0.8780065416859127,0.8780064109965771,0.875761,0.013510925,5
2024-05-10,-0.011064584,0.03846329,1.0,1.0,0.0,0.0,-0.011064584,-0.011064584366977215,0.8682917601421345,0.8682916349873585,0.86607105,-0.011064584,5
2024-05-13,0.010775792,0.030984346,1.0,1.0,0.0,0.0,0.010775792,0.01077579241245985,0.8776483024154519,0.8776481653994577,0.87540364,0.010775792,5
2024-05-14,-0.0062066587,0.034834206,1.0,1.0,0.0,0.0,-0.0062066587,-0.00620665866881609,0.8722010626749299,0.8722009028055105,0.8699703,-0.0062066587,5
2024-05-15,0.019796172,0.024949549,1.0,1.0,0.0,0.0,0.019796172,0.01979617215692997,0.8894672709504774,0.8894671420328781,0.88719237,0.019796172,5
2024-05-16,0.008140505,0.021722667,1.0,1.0,0.0,0.0,0.008140505,0.00814050529152155,0.8967080361642847,0.8967078540092314,0.8944146,0.008140505,5
2024-05-17,0.0047045858,0.0208486,1.0,1.0,0.0,0.0,0.0047045858,0.004704585764557123,0.9009266839598694,0.9009264930141697,0.89862245,0.0047045858,5
2024-05-21,0.0020263009,0.021452947,1.0,1.0,0.0,0.0,0.0020263009,0.0020263008773326874,0.9027522492710569,0.9027520411573766,0.9004434,0.0020263009,5
2024-05-22,0.01995423,0.009652557,1.0,1.0,0.0,0.0,0.01995423,0.01995423063635826,0.9207659523194034,0.9207657635940741,0.918411,0.01995423,5
2024-05-23,-0.0115524605,0.00050510047,1.0,1.0,0.0,0.0,-0.0115524605,-0.011552460491657257,0.9101288468934112,0.9101286534880829,0.9078011,-0.0115524605,5
2024-05-24,-0.0026409451,0.004243717,1.0,1.0,0.0,0.0,-0.0026409451,-0.0026409451384097338,0.9077252306469402,0.9077250536453262,0.9054036,-0.0026409451,5
2024-05-27,0.0017613566,0.007189902,1.0,1.0,0.0,0.0,0.0017613566,0.0017613566014915705,0.9093240227567645,0.9093238811609037,0.90699834,0.0017613566,5
2024-05-28,-0.008542256,0.015460607,1.0,1.0,0.0,0.0,-0.008542256,-0.00854225642979145,0.9015563590203385,0.9015562033902941,0.89925057,-0.008542256,5
2024-05-29,-0.03263833,0.022026453,1.0,1.0,0.0,0.0,-0.03263833,-0.03263833001255989,0.8721310818425065,0.8721309144991711,0.8699005,-0.03263833,5
2024-05-30,-0.009196108,0.00517669,1.0,1.0,0.0,0.0,-0.009196108,-0.00919610820710659,0.8641108749165141,0.864110704238674,0.8619008,-0.009196108,5
2024-05-31,0.005935601,0.0026159254,1.0,1.0,0.0,0.0,0.005935601,0.005935600958764553,0.8692398479920194,0.8692397205632317,0.8670167,0.005935601,5
2024-06-03,-0.0068459464,0.011849616,1.0,1.0,0.0,0.0,-0.0068459464,-0.0068459464237093925,0.8632890745155992,0.8632889520068957,0.8610811,-0.0068459464,5
2024-06-04,0.02400749,0.02563536,1.0,1.0,0.0,0.0,0.02400749,0.024007489904761314,0.8840144348408906,0.8840143528070932,0.8817535,0.02400749,5
2024-06-05,0.001204923,0.05938317,1.0,1.0,0.0,0.0,0.001204923,0.001204923028126359,0.8850796435033256,0.8850795220579847,0.882816,0.001204923,5
2024-06-06,0.036186498,0.10754901,1.0,1.0,0.0,0.0,0.036186498,0.036186497658491135,0.9171075396815721,0.9171074501105144,0.914762,0.036186498,5
2024-06-07,-0.006364545,0.11361859,1.0,1.0,0.0,0.0,-0.006364545,-0.006364544853568077,0.9112705864004282,0.9112704786087445,0.90894,-0.006364545,5
2024-06-10,-0.003366041,0.12145724,1.0,1.0,0.0,0.0,-0.003366041,-0.0033660409972071648,0.9082032012141261,0.9082031048182029,0.90588045,-0.003366041,5
