date,actual,predicted,desired_pos,position,delta,cost,gross_ret,net_ret,capital,strategy_equity,buyhold_equity,buyhold_ret,n_trades
2024-04-01,0.010625153,0.0020192272,1.0,1.0,1.0,0.0010509999999999999,0.0,-0.0010509999999999999,0.998949,0.998949,1.0106251,0.010625153,1
2024-04-02,0.0060489485,0.0019205909,1.0,1.0,0.0,0.0,0.0060489485,0.0060489485040307045,1.004991560357809,1.004991591059153,1.0167383,0.0060489485,1
2024-04-03,-0.015356222,0.0018411439,1.0,1.0,0.0,0.0,-0.015356222,-0.015356222167611122,0.9895586660890111,0.9895587169102675,1.001125,-0.015356222,1
2024-04-04,0.00715202,0.0015661888,1.0,1.0,0.0,0.0,0.00715202,0.007152019999921322,0.9966359513992807,0.9966360606447062,1.0082849,0.00715202,1
2024-04-05,0.0046313005,0.0015203542,1.0,1.0,0.0,0.0,0.0046313005,0.0046313004568219185,1.0012516524443007,1.0012517816876552,1.0129546,0.0046313005,1
2024-04-08,-0.0053506396,0.0020259442,1.0,1.0,0.0,0.0,-0.0053506396,-0.0053506395779550076,0.9958943059341125,0.9958944442770592,1.0075346,-0.0053506396,1
2024-04-09,0.019245535,0.0020870178,1.0,1.0,0.0,0.0,0.019245535,0.019245535135269165,1.0150607951100188,1.0150609657954126,1.0269251,0.019245535,1
2024-04-10,-0.01650154,0.0020509006,1.0,1.0,0.0,0.0,-0.01650154,-0.016501540318131447,0.998310722802062,0.9983108963429782,1.0099792,-0.01650154,1
2024-04-12,-0.011550143,0.002851297,1.0,1.0,0.0,0.0,-0.011550143,-0.011550143361091614,0.9867801057107722,0.9867802623712769,0.99831384,-0.011550143,1
2024-04-15,-0.007686144,0.0030870694,1.0,1.0,0.0,0.0,-0.007686144,-0.007686144206672907,0.9791955774915722,0.9791957269743927,0.99064064,-0.007686144,1
2024-04-16,-0.009221618,0.0030183196,1.0,1.0,0.0,0.0,-0.009221618,-0.009221618063747883,0.9701658144259686,0.9701659579705809,0.98150533,-0.009221618,1
2024-04-18,0.007557261,0.002856925,1.0,1.0,0.0,0.0,0.007557261,0.007557260803878307,0.9774976222545779,0.9774977551380091,0.98892283,0.007557261,1
2024-04-19,0.020639649,0.0026272156,1.0,1.0,0.0,0.0,0.020639649,0.020639648661017418,0.9976728388485484,0.9976729653709908,1.0093338,0.020639649,1
2024-04-22,0.008966374,0.0018198293,1.0,1.0,0.0,0.0,0.008966374,0.008966374211013317,1.0066182994749113,1.0066184745187186,1.0183839,0.008966374,1
2024-04-23,0.00012930026,0.0018370443,1.0,1.0,0.0,0.0,0.00012930026,0.00012930025695823133,1.0067484975786885,1.0067486305461326,1.0185156,0.00012930026,1
2024-04-24,0.04995371,0.0017917855,1.0,1.0,0.0,0.0,0.04995371,0.04995371028780937,1.0570393091081303,1.0570394599690829,1.0693942,0.04995371,1
2024-04-25,-0.01412666,0.0016724853,1.0,1.0,0.0,0.0,-0.01412666,-0.01412666030228138,1.0421068758310907,1.0421070225919926,1.0542873,-0.01412666,1
2024-04-26,0.030964527,0.002544118,1.0,1.0,0.0,0.0,0.030964527,0.030964527279138565,1.0743751876761847,1.0743753739208242,1.0869328,0.030964527,1
