date,actual,predicted,desired_pos,position,delta,cost,gross_ret,net_ret,capital,strategy_equity,buyhold_equity,buyhold_ret,n_trades
2024-04-01,-0.008004849,0.008142086,1.0,1.0,1.0,0.0010509999999999999,-0.0,-0.0010509999999999999,0.998949,0.998949,0.99199516,-0.008004849,1
2024-04-02,-0.0065745646,0.013210322,1.0,1.0,0.0,0.0,-0.0065745646,-0.00657456461340189,0.9923813387416005,0.9923813452540068,0.9854732,-0.0065745646,1
2024-04-03,0.0040631485,0.013940543,1.0,1.0,0.0,0.0,0.0040631485,0.004063148517161608,0.9964135125599108,0.9964135380454344,0.98947734,0.0040631485,1
2024-04-04,-0.014521005,0.013312034,1.0,1.0,0.0,0.0,-0.014521005,-0.014521004632115364,0.9819445891844908,0.9819446124439742,0.97510916,-0.014521005,1
2024-04-05,0.017150644,0.010576657,1.0,1.0,0.0,0.0,0.017150644,0.017150644212961197,0.9987855678124077,0.9987855951288349,0.9918329,0.017150644,1
2024-04-08,-0.0059527447,0.009367532,1.0,1.0,0.0,0.0,-0.0059527447,-0.005952744744718075,0.99284008110845,0.9928400794263317,0.98592883,-0.0059527447,1
2024-04-09,-0.0085032545,0.003242148,1.0,1.0,0.0,0.0,-0.0085032545,-0.008503254503011703,0.9843977055193766,0.9843977075501792,0.9775452,-0.0085032545,1
2024-04-10,-0.019899847,0.0063615656,1.0,1.0,0.0,0.0,-0.019899847,-0.019899846985936165,0.9648083436398179,0.9648083437966243,0.9580922,-0.019899847,1
2024-04-12,-0.02155285,0.0068273656,1.0,1.0,0.0,0.0,-0.02155285,-0.02155284956097603,0.944013963771601,0.9440139747076012,0.9374426,-0.02155285,1
2024-04-15,-0.016055275,0.017120825,1.0,1.0,0.0,0.0,-0.016055275,-0.01605527475476265,0.9288575496607372,0.928857570971335,0.9223917,-0.016055275,1
2024-04-16,0.0021143695,0.015286899,1.0,1.0,0.0,0.0,0.0021143695,0.002114369533956051,0.9308215401533592,0.9308215191207813,0.92434204,0.0021143695,1
2024-04-18,-0.009223028,0.0049818414,1.0,1.0,0.0,0.0,-0.009223028,-0.00922302808612585,0.9222365322081368,0.92223652610676,0.9158168,-0.009223028,1
2024-04-19,0.026463244,0.0130404625,1.0,1.0,0.0,0.0,0.026463244,0.02646324411034584,0.9466419267366313,0.9466418964246005,0.9400523,0.026463244,1
2024-04-22,-0.00070614397,0.020626903,1.0,1.0,0.0,0.0,-0.00070614397,-0.0007061439682729542,0.945973468578493,0.9459734309593258,0.93938845,-0.00070614397,1
2024-04-23,0.0068185534,0.018955173,1.0,1.0,0.0,0.0,0.0068185534,0.0068185534328222275,0.9524236198378858,0.9524236013443522,0.9457937,0.0068185534,1
2024-04-24,0.0047893445,0.010818877,1.0,1.0,0.0,0.0,0.0047893445,0.004789344500750303,0.9569851122035569,0.9569850860818356,0.9503234,0.0047893445,1
2024-04-25,-0.012979877,-0.005045672,-1.0,-1.0,-2.0,0.0024262640687119285,-0.012979877,-0.015406141250063114,0.9422416643907414,0.942241638671455,0.93798834,-0.012979877,2
2024-04-26,0.008039287,0.004417132,1.0,1.0,2.0,0.0019262640687119283,-0.008039287,-0.009965551360179119,0.9328517066905548,0.9328516812275753,0.94552904,0.008039287,3
2024-04-29,-0.011067255,0.002594944,1.0,1.0,0.0,0.0,-0.011067255,-0.011067255400121212,0.922527583832812,0.9225275734209973,0.9350646,-0.011067255,3
2024-04-30,0.0014456705,0.008670158,1.0,1.0,0.0,0.0,0.0014456705,0.0014456704957410693,0.9238612368070767,0.9238612443153996,0.9364164,0.0014456705,3
2024-05-02,-0.028089123,0.008205883,1.0,1.0,0.0,0.0,-0.028089123,-0.028089122846722603,0.8979108005205084,0.8979107923304983,0.9101133,-0.028089123,3
2024-05-03,-0.010483883,0.010860284,1.0,1.0,0.0,0.0,-0.010483883,-0.010483883321285248,0.8884972285248,0.8884972003507826,0.90057176,-0.010483883,3
