date,actual,predicted,desired_pos,position,delta,cost,gross_ret,net_ret,capital,strategy_equity,buyhold_equity,buyhold_ret,n_trades
2024-04-01,-0.0019939023,-0.0045220447,-1.0,-1.0,-1.0,0.0013009999999999999,-0.0,-0.0013009999999999999,0.998699,0.998699,0.9980061,-0.0019939023,1
2024-04-02,-0.001527586,-0.00504465,-1.0,-1.0,0.0,0.0,0.001527586,0.0015275860205292702,1.0002245604965687,1.0002245986311165,0.99648154,-0.001527586,1
2024-04-03,-0.0057785204,-0.0045567383,-1.0,-1.0,0.0,0.0,0.0057785204,0.005778520368039608,1.0060044092325582,1.0060044168469207,0.9907234,-0.0057785204,1
2024-04-04,0.011290189,-0.0041509317,-1.0,-1.0,0.0,0.0,-0.011290189,-0.011290188878774643,0.9946464256917841,0.9946464369678374,1.0019088,0.011290189,1
2024-04-05,0.0036186317,-0.0030601397,-1.0,-1.0,0.0,0.0,-0.0036186317,-0.0036186317447572947,0.9910471408551238,0.9910471777962159,1.0055343,0.0036186317,1
2024-04-08,-0.0064293537,-0.0029651076,-1.0,-1.0,0.0,0.0,0.0064293537,0.006429353728890419,0.9974188947203347,0.9974189706642863,0.99906933,-0.0064293537,1
2024-04-09,0.024558224,-0.0023603677,-1.0,-1.0,0.0,0.0,-0.024558224,-0.02455822378396988,0.9729240360033833,0.9729241323763359,1.0236046,0.024558224,1
2024-04-10,-0.015800942,-0.003924508,-1.0,-1.0,0.0,0.0,0.015800942,0.015800941735506058,0.9882971628826196,0.9882972499050822,1.0074307,-0.015800942,1
2024-04-12,-0.00981322,-0.004083767,-1.0,-1.0,0.0,0.0,0.00981322,0.009813220240175724,0.9979955102307534,0.9979956284811607,0.9975445,-0.00981322,1
2024-04-15,0.0,-0.009087061,-1.0,-1.0,0.0,0.0,-0.0,-0.0,0.9979955102307534,0.9979956284811607,0.9975445,0.0,1
2024-04-16,-0.016691692,-0.0113504585,-1.0,-1.0,0.0,0.0,0.016691692,0.016691692173480988,1.0146537366423953,1.014653864302248,0.98089385,-0.016691692,1
2024-04-18,0.013987889,-0.01096361,-1.0,-1.0,0.0,0.0,-0.013987889,-0.0139878885820508,1.0004608628302107,1.000460999099041,0.9946145,0.013987889,1
2024-04-19,0.0012940678,-0.0054086116,-1.0,-1.0,0.0,0.0,-0.0012940678,-0.0012940678279846907,0.9991661899957603,0.9991663347069535,0.9959015,0.0012940678,1
2024-04-22,0.009128081,0.00026393327,1.0,1.0,2.0,0.0019262640687119283,-0.009128081,-0.011054344749678306,0.9881210624693246,0.9881212055808304,1.0049922,0.009128081,2
2024-04-23,-0.00069907756,0.0013697916,1.0,1.0,0.0,0.0,-0.00069907756,-0.0006990775582380593,0.9874302641901761,0.9874304322211896,1.0042896,-0.00069907756,2
2024-04-24,0.019967148,0.0020548718,1.0,1.0,0.0,0.0,0.019967148,0.019967148080468178,1.0071464801536663,1.0071466018805109,1.0243424,0.019967148,2
2024-04-25,0.0055836085,0.0025521968,1.0,1.0,0.0,0.0,0.0055836085,0.005583608523011208,1.0127700274673466,1.0127701142306926,1.030062,0.0055836085,2
2024-04-26,-0.0040991073,0.0023203162,1.0,1.0,0.0,0.0,-0.0040991073,-0.004099107347428799,1.0086185508261098,1.0086186608141934,1.0258396,-0.0040991073,2
2024-04-29,-0.0058363983,0.0010263554,1.0,1.0,0.0,0.0,-0.0058363983,-0.0058363983407616615,1.002731822069781,1.002731960535756,1.0198523,-0.0058363983,2
2024-04-30,0.007660334,-0.00045220205,-1.0,-1.0,-2.0,0.0024262640687119285,0.007660334,0.005234069929789372,1.0079801905473194,1.0079803297380352,1.0276648,0.007660334,3
2024-05-02,-0.005825652,-0.0009805709,-1.0,-1.0,0.0,0.0,0.005825652,0.0058256518095731735,1.0138523190258293,1.0138524721699878,1.021678,-0.005825652,3
2024-05-03,-0.0039026008,-0.001877084,-1.0,-1.0,0.0,0.0,0.0039026008,0.003902600845322013,1.0178089329679694,1.0178091336849102,1.0176908,-0.0039026008,3
2024-05-06,0.012798601,-0.0024612057,-1.0,-1.0,0.0,0.0,-0.012798601,-0.01279860083013773,1.004782396078205,1.0047826008616088,1.0307157,0.012798601,3
2024-05-07,0.0014750691,-0.0020642364,-1.0,-1.0,0.0,0.0,-0.0014750691,-0.0014750690897926688,1.0033002458371791,1.0033004771051164,1.0322361,0.0014750691,3
2024-05-08,-0.036720444,-0.00264799,-1.0,-1.0,0.0,0.0,0.036720444,0.03672044351696968,1.0401418272564042,1.0401421156052035,0.9943319,-0.036720444,3
2024-05-09,0.019221263,-0.002678189,-1.0,-1.0,0.0,0.0,-0.019221263,-0.019221263006329536,1.0201490050675608,1.020149270437196,1.0134443,0.019221263,3
2024-05-10,-0.003467274,-0.0024778894,-1.0,-1.0,0.0,0.0,0.003467274,0.003467273898422718,1.023686189539811,1.0236864073750778,1.0099304,-0.003467274,3
2024-05-13,-0.0049911826,-0.00083111867,-1.0,-1.0,0.0,0.0,0.0049911826,0.004991182591766119,1.028795585171344,1.0287958131509958,1.0048896,-0.0049911826,3
2024-05-14,-0.004431495,-0.0006652224,-1.0,-1.0,0.0,0.0,0.004431495,0.004431494977325201,1.03335467853739,1.0333549166296676,1.0004364,-0.004431495,3
2024-05-15,0.008495864,0.0020905281,1.0,1.0,2.0,0.0019262640687119283,-0.008495864,-0.010422128527094059,1.0225849232635993,1.0225851588744488,1.0089359,0.008495864,4
2024-05-16,0.011178487,0.0031988798,1.0,1.0,0.0,0.0,0.011178487,0.011178486980497837,1.0340158821812497,1.034016113759377,1.0202143,0.011178487,4
2024-05-17,-0.0034439508,0.002855572,1.0,1.0,0.0,0.0,-0.0034439508,-0.0034439507871866226,1.0304547765918342,1.0304550131504318,1.0167007,-0.0034439508,4
2024-05-21,0.011661153,0.002880414,1.0,1.0,0.0,0.0,0.011661153,0.01166115328669548,1.042471086890395,1.0424713070138227,1.0285567,0.011661153,4
2024-05-22,0.0032908719,0.0033843354,1.0,1.0,0.0,0.0,0.0032908719,0.0032908718567341566,1.0459017462828348,1.0459019464995274,1.0319415,0.0032908719,4
2024-05-23,-0.011737416,0.0032901308,1.0,1.0,0.0,0.0,-0.011737416,-0.011737415567040443,1.0336255725851389,1.033625760711086,1.0198293,-0.011737416,4
2024-05-24,-0.010833248,0.0015522768,1.0,1.0,0.0,0.0,-0.010833248,-0.010833247564733028,1.022428034503225,1.0224282369560171,1.0087812,-0.010833248,4
2024-05-27,-0.0058106356,0.001826421,1.0,1.0,0.0,0.0,-0.0058106356,-0.005810635630041361,1.0164870953526781,1.0164872790132002,1.0029196,-0.0058106356,4
