date,actual,predicted,desired_pos,position,delta,cost,gross_ret,net_ret,capital,strategy_equity,buyhold_equity,buyhold_ret,n_trades
2024-04-01,0.001463689,0.007379322,1.0,1.0,1.0,0.0010509999999999999,0.0,-0.0010509999999999999,0.998949,0.998949,1.0014637,0.001463689,1
2024-04-02,-0.010376727,0.008641081,1.0,1.0,0.0,0.0,-0.010376727,-0.01037672720849514,0.9885831545428634,0.988583178731801,0.9910717,-0.010376727,1
2024-04-03,-0.0059123193,0.005944803,1.0,1.0,0.0,0.0,-0.0059123193,-0.005912319291383028,0.9827383504785052,0.9827383593330482,0.9852122,-0.0059123193,1
2024-04-04,-0.0019330442,0.005625568,1.0,1.0,0.0,0.0,-0.0019330442,-0.0019330441718921065,0.9808386796723138,0.9808386826750446,0.9833078,-0.0019330442,1
2024-04-05,0.017566256,0.0065597217,1.0,1.0,0.0,0.0,0.017566256,0.0175662562251091,0.9980682920802119,0.9980683462904129,1.0005808,0.017566256,1
2024-04-08,-0.015137874,0.0046637245,1.0,1.0,0.0,0.0,-0.015137874,-0.015137873589992523,0.9829596827490866,0.9829597138300957,0.9854341,-0.015137874,1
2024-04-09,0.010821642,0.0050552837,1.0,1.0,0.0,0.0,0.010821642,0.010821642354130745,0.9935969776423847,0.9935969523016838,0.99609816,0.010821642,1
2024-04-10,-0.00843316,0.0040833917,1.0,1.0,0.0,0.0,-0.00843316,-0.008433160372078419,0.9852178122086362,0.9852177898577154,0.9876979,-0.00843316,1
2024-04-12,-0.0015860082,0.004030945,1.0,1.0,0.0,0.0,-0.0015860082,-0.0015860082348808646,0.9836552370611827,0.9836552263298499,0.98613137,-0.0015860082,1
2024-04-15,0.00063133374,0.0030490987,1.0,1.0,0.0,0.0,0.00063133374,0.0006313337362371385,0.9842762504802716,0.984276241059058,0.98675394,0.00063133374,1
2024-04-16,-0.0009727134,-0.0029761286,-1.0,-1.0,-2.0,0.0024262640687119285,-0.0009727134,-0.0033989774707187037,0.9809307176799257,0.9809307082907346,0.9857941,-0.0009727134,2
2024-04-18,0.003953008,-0.0030730632,-1.0,-1.0,0.0,0.0,-0.003953008,-0.003953007981181145,0.9770531181308388,0.9770530813718756,0.98969096,0.003953008,2
2024-04-19,0.006593307,-0.0076292846,-1.0,-1.0,0.0,0.0,-0.006593307,-0.006593307014554739,0.9706111265174342,0.9706110704368741,0.99621636,0.006593307,2
2024-04-22,-0.013966706,0.0024222326,1.0,1.0,2.0,0.0019262640687119283,0.013966706,0.012040441581379242,0.9822977130845041,0.9822976563287094,0.98230255,-0.013966706,3
2024-04-23,-0.0062897913,0.0021402065,1.0,1.0,0.0,0.0,-0.0062897913,-0.006289791315793991,0.9761192764372533,0.9761192090604083,0.9761241,-0.0062897913,3
2024-04-24,0.006735074,0.001002949,1.0,1.0,0.0,0.0,0.006735074,0.006735073868185282,0.9826935241408237,0.9826934440375847,0.9826984,0.006735074,3
2024-04-25,-0.0050986097,0.00096290227,1.0,1.0,0.0,0.0,-0.0050986097,-0.00509860971942544,0.977683181301165,0.9776830736925991,0.977688,-0.0050986097,3
2024-04-26,0.008551718,0.00096787995,1.0,1.0,0.0,0.0,0.008551718,0.00855171773582697,0.9860440509921795,0.9860439433739139,0.98604894,0.008551718,3
2024-04-29,0.0013471569,0.0009212136,1.0,1.0,0.0,0.0,0.0013471569,0.0013471569400280714,0.9873724339396557,0.9873722993154027,0.98737735,0.0013471569,3
