,fold,test_start,test_end,n_days,ann_return,sharpe,dir_accuracy,ic,max_drawdown,n_trades,total_cost
0,0,2025-04-07,2025-07-08,63,0.4338854424337246,1.7597945136819464,0.5238095238095238,0.17079493087557604,-0.05085512768220591,17,0.035871225099390856
1,1,2025-05-26,2025-08-21,63,0.8031243555567928,2.8604171939281016,0.6507936507936508,0.3309331797235023,-0.08349482209221272,9,0.018711112549695427
2,2,2025-07-08,2025-10-07,63,0.2742315037595613,1.0118577387608283,0.6190476190476191,0.16129032258064518,-0.09893734743590567,10,0.02088737661840736
3,3,2025-08-21,2025-11-21,63,-0.3458142869661456,-3.230308197890424,0.5396825396825397,-0.11544738863287252,-0.14371139765019691,14,0.029342432893255072
4,4,2025-10-07,2026-01-06,63,-0.24351668565466156,-1.8496136018986424,0.5555555555555556,-0.1930203533026114,-0.13332473680903623,17,0.036121225099390857
5,5,2025-11-21,2026-02-20,63,0.20840338161150296,0.6966243573641338,0.5079365079365079,-0.03816244239631337,-0.08700857994427244,14,0.02959243289325507
6,6,2026-01-06,2026-04-10,63,0.3947724607692953,1.3422515744032275,0.5079365079365079,0.02289746543778802,-0.06664476475763145,7,0.01435858441227157
7,7,2026-02-20,2026-05-27,63,0.07346707369760863,0.14198771881709632,0.5396825396825397,-0.12305735236764075,-0.13057178939716108,11,0.02306364068711929
8,8,2026-04-10,2026-07-13,63,-0.3167554635086631,-1.8255263342823749,0.5238095238095238,-0.014497623750563198,-0.09764236132866845,17,0.036121225099390857
