Date,Close,High,Low,Open,Volume,Ticker
2020-01-01,514.7979736328125,520.3128098664197,513.7909282892457,517.8191682024507,7642793,ICICIBANK.NS
2020-01-02,518.4904174804688,519.7372966704075,513.9346838617928,514.0785725495332,10264223,ICICIBANK.NS
2020-01-03,516.81201171875,518.6822720458403,514.3183703085841,515.9967985566774,9594690,ICICIBANK.NS
2020-01-06,504.1997985839844,515.2774120206166,502.37748185461425,515.2774120206166,12534334,ICICIBANK.NS
2020-01-07,501.5143737792969,513.6949202731082,500.31549648353354,509.57079408346834,16101835,ICICIBANK.NS
2020-01-08,504.43963623046875,505.782343714452,493.9374591295397,494.8965609919272,16094310,ICICIBANK.NS
2020-01-09,523.9573974609375,525.0124447572564,508.61176585431184,508.995430060053,18934019,ICICIBANK.NS
2020-01-10,518.1548461914062,524.1492335837178,516.4764177215591,522.6146938268618,12335407,ICICIBANK.NS
2020-01-13,516.5722045898438,523.7175246872326,515.9967669270576,517.3395328587959,7901800,ICICIBANK.NS
2020-01-14,515.6131591796875,516.9079818709492,512.3043044484212,514.2704516400397,13939440,ICICIBANK.NS
2020-01-15,513.6949462890625,514.9897689574212,508.9474387885477,513.2153953464705,12353176,ICICIBANK.NS
2020-01-16,515.1815795898438,517.9149964332245,511.39311559333305,512.064498592792,11249232,ICICIBANK.NS
2020-01-17,510.29010009765625,515.9967675055498,508.89939078228133,512.6399112113686,18312609,ICICIBANK.NS
2020-01-20,512.9756469726562,521.7514531012389,509.2831279352166,511.2013318069123,19159996,ICICIBANK.NS
2020-01-21,509.3309631347656,518.1547107780583,508.51575007803285,511.15327984136405,13477994,ICICIBANK.NS
2020-01-22,501.4664001464844,513.0715681475359,499.45230959154947,509.76265491677106,17527408,ICICIBANK.NS
2020-01-23,506.1180419921875,508.56373992477535,495.9035841962313,500.0757122355206,17061293,ICICIBANK.NS
2020-01-24,512.0164794921875,515.4213377597315,505.44665548822525,507.60463456763415,17851868,ICICIBANK.NS
2020-01-27,515.2774658203125,522.7105051132068,509.7626302159071,516.476343125618,38149166,ICICIBANK.NS
2020-01-28,506.59765625,518.4904851787459,503.001023976177,516.0927303295306,24009224,ICICIBANK.NS
2020-01-29,505.0630187988281,512.9276658012558,503.8161980818544,509.8105847393553,16400827,ICICIBANK.NS
2020-01-30,510.43402099609375,512.1124492491086,502.7132627400115,506.0701192460413,14319317,ICICIBANK.NS
2020-01-31,504.1519470214844,510.96154722923745,501.0348657854543,508.3240169525966,16292578,ICICIBANK.NS
2020-02-03,494.4649658203125,497.9177677346747,481.4691469675216,483.38735074030063,22531888,ICICIBANK.NS
2020-02-04,509.0912170410156,512.7837940458395,495.5199618727453,498.7329294449446,17781475,ICICIBANK.NS
2020-02-05,517.0517578125,518.2986369856877,504.1998287947771,507.41279641447574,18782476,ICICIBANK.NS
2020-02-06,519.4495239257812,524.6286971855985,514.3183525882581,518.2506466470207,15296851,ICICIBANK.NS
2020-02-07,514.5101318359375,519.5933592682017,513.2633113018235,518.8260895963564,8297149,ICICIBANK.NS
2020-02-10,512.1124877929688,520.0730221129126,508.80357442305234,516.6202785767001,12536053,ICICIBANK.NS
2020-02-11,517.6752319335938,522.5186846468627,515.5172527360938,515.7090848169913,11243552,ICICIBANK.NS
