Date,Close,High,Low,Open,Volume,Ticker
2020-01-01,303.1385192871094,304.4980880188611,301.0538306354587,303.36511407573465,17379320,SBIN.NS
2020-01-02,307.5343933105469,308.03291837252516,302.1414546871852,303.1837850378776,20324236,SBIN.NS
2020-01-03,302.45867919921875,306.3107898961737,300.9178238562402,306.3107898961737,21853208,SBIN.NS
2020-01-06,289.13494873046875,300.64597499490856,287.95666690015446,300.64597499490856,35645325,SBIN.NS
2020-01-07,288.5910949707031,296.38596062944805,285.87195771722196,294.0747050281869,50966826,SBIN.NS
2020-01-08,289.8600158691406,291.4008713541847,281.8838911077805,282.88091361807403,44527485,SBIN.NS
2020-01-09,299.2863464355469,300.3739846013529,294.5731647355812,296.29527924347565,40348407,SBIN.NS
2020-01-10,301.1444396972656,306.31081135220614,297.3829721676829,300.01146588350616,42377838,SBIN.NS
2020-01-13,299.7848815917969,304.0448743445251,298.2440260870668,302.73061361046155,23615129,SBIN.NS
2020-01-14,297.2923278808594,300.64594142420054,295.93275930823347,298.92379910381305,26296117,SBIN.NS
2020-01-15,293.8934326171875,298.38002037053025,292.1713178039585,298.1987334805079,32625740,SBIN.NS
2020-01-16,293.0323486328125,296.29531888779803,292.17130509390313,293.6668250597939,26653623,SBIN.NS
2020-01-17,288.22857666015625,293.2136621055363,281.0681867343461,283.69668080071983,58396326,SBIN.NS
2020-01-20,284.60302734375,291.35556246435186,284.059194370867,290.9476808195661,30682902,SBIN.NS
2020-01-21,284.33111572265625,287.2768476006926,282.79026029148616,284.4217314982013,30591772,SBIN.NS
2020-01-22,286.5517578125,287.3221856088501,284.3311455294863,287.3221856088501,24994911,SBIN.NS
2020-01-23,292.9417419433594,294.39192640347363,284.73899433079845,286.415801230863,33293610,SBIN.NS
2020-01-24,293.7121276855469,296.65785967424205,291.08363390465615,293.21363025935,22706879,SBIN.NS
2020-01-27,286.5970764160156,291.8540640205103,286.23450265529647,290.8570414995215,23309355,SBIN.NS
2020-01-28,285.6000671386719,290.04131930848393,281.9292150948765,288.1832531708622,26488426,SBIN.NS
2020-01-29,286.8236389160156,289.76937059722405,286.00787570667256,288.09256395428406,23914114,SBIN.NS
2020-01-30,281.61199951171875,287.09558204297446,277.0347684266544,287.09558204297446,35802330,SBIN.NS
2020-01-31,288.6364440917969,291.58217625489846,279.7086041576822,284.33114323803306,92656638,SBIN.NS
2020-02-03,270.1916198730469,278.1224371339771,267.69907730532594,274.63287200706867,56060158,SBIN.NS
2020-02-04,277.57855224609375,278.75683381184024,269.2851904212881,274.5421772445282,51141567,SBIN.NS
2020-02-05,281.8838806152344,284.285779532108,276.0830603083057,278.16772103000886,35014841,SBIN.NS
2020-02-06,291.8087158203125,293.2135921372996,281.0681196643288,282.06514204758923,57757656,SBIN.NS
2020-02-07,290.539794921875,294.573192779515,288.5910854863554,291.4008660880433,37126803,SBIN.NS
2020-02-10,288.6817321777344,292.57915109270243,286.8689740478899,289.86001389793574,24816396,SBIN.NS
2020-02-11,293.98406982421875,295.29830293725894,290.99300216529167,290.99300216529167,30188757,SBIN.NS
2020-02-12,290.2225646972656,299.0144243353265,289.361493589498,299.0144243353265,38930849,SBIN.NS
2020-02-13,296.7938232421875,299.96614983440907,291.85404648438816,291.85404648438816,62516057,SBIN.NS
2020-02-14,289.4974365234375,300.8271736107706,288.72700886940066,297.3829446004177,48205947,SBIN.NS
2020-02-17,284.7843017578125,291.0836194082406,282.47301863933757,290.9023601988752,36950692,SBIN.NS
2020-02-18,287.82061767578125,289.31616503617107,280.4336349407376,285.8719085116394,38588583,SBIN.NS
2020-02-19,290.35858154296875,293.66686008278947,287.54880049773135,292.1260043823534,39846727,SBIN.NS
2020-02-20,296.9750671386719,298.3799711533695,288.90829975219896,289.45213267206606,40150409,SBIN.NS
2020-02-24,292.71514892578125,300.2833924767289,291.71812635807987,295.2529994067523,45273936,SBIN.NS
2020-02-25,296.20465087890625,297.42826808059834,292.03532954053674,295.38891529794233,39050709,SBIN.NS
2020-02-26,297.4736022949219,299.8301655937063,293.8480862531093,294.43722707780535,43915281,SBIN.NS
2020-02-27,291.8087158203125,299.1050553487137,288.2285078814877,297.2922974375093,47010040,SBIN.NS
2020-02-28,274.63287353515625,285.19218475779167,272.910758738157,282.79028562035893,59705346,SBIN.NS
2020-03-02,260.4933166503906,282.7902453755621,257.45694149647136,281.8838663839738,66711413,SBIN.NS
2020-03-03,262.7139892578125,266.8380031235851,258.5899477315448,265.56907790800085,61949382,SBIN.NS
2020-03-04,258.58990478515625,265.56903380252464,249.34485604088488,264.4813679923795,73675736,SBIN.NS
