Date,Close,High,Low,Open,Volume,Ticker
2020-01-01,427.93084716796875,434.72790583972085,424.57951351372674,430.5269325138728,5154996,BHARTIARTL.NS
2020-01-02,429.72454833984375,433.68948483751984,428.1196895966712,428.68609651753195,4933053,BHARTIARTL.NS
2020-01-03,429.6300964355469,433.5006412823277,426.23159645595473,430.19653266584436,5154587,BHARTIARTL.NS
2020-01-06,424.485107421875,431.8485727188383,419.76492306073453,428.49723918087926,7538915,BHARTIARTL.NS
2020-01-07,420.1897888183594,429.8189413133177,418.30172660771274,426.70364453586086,4353883,BHARTIARTL.NS
2020-01-08,433.1702575683594,434.9639283356116,415.7056241303646,417.8296940307979,14118818,BHARTIARTL.NS
2020-01-09,434.3503112792969,448.36922006321123,429.8189385227245,442.185792883049,18180867,BHARTIARTL.NS
2020-01-10,431.4237976074219,439.8729111726456,428.7805163976685,438.78726366748157,37724966,BHARTIARTL.NS
2020-01-13,442.65777587890625,443.9794310608017,428.8276802020275,433.3118275934288,15206224,BHARTIARTL.NS
2020-01-14,443.0826110839844,446.1979370707375,440.4865256620562,442.6577912357409,8238486,BHARTIARTL.NS
2020-01-15,441.66656494140625,445.5843055950835,438.97605880014805,443.2242279363741,10875259,BHARTIARTL.NS
2020-01-16,447.3779602050781,450.2572489746482,441.80816539138016,442.9409791462255,16290593,BHARTIARTL.NS
2020-01-17,472.0644836425781,475.60460009453107,448.5108149271613,448.5108149271613,61915666,BHARTIARTL.NS
2020-01-20,480.2303771972656,484.0065308670146,466.58909287349843,471.0732405025476,45298836,BHARTIARTL.NS
2020-01-21,483.10968017578125,486.1777810879943,476.17100499805235,481.4576258384358,65202963,BHARTIARTL.NS
2020-01-22,485.70574951171875,494.43809513591793,478.34228408531203,485.9417572663972,20285793,BHARTIARTL.NS
2020-01-23,494.34368896484375,496.56217966612496,483.67611402578825,486.17780818771905,15772863,BHARTIARTL.NS
2020-01-24,494.91009521484375,497.8365795413951,485.375335262234,491.3699496544944,23824625,BHARTIARTL.NS
2020-01-27,485.61138916015625,494.7684964965437,483.2512821121124,491.98359894339063,11856786,BHARTIARTL.NS
2020-01-28,463.7569885253906,485.6114086742674,458.89521653296424,485.5641836379801,31674769,BHARTIARTL.NS
2020-01-29,462.8128967285156,473.3388833930177,460.92483474219523,465.5034026693504,20037283,BHARTIARTL.NS
2020-01-30,462.3880920410156,465.31460582589716,453.2309558870799,464.4649661640336,15337903,BHARTIARTL.NS
2020-01-31,468.66595458984375,471.4508520709117,459.7448259035733,465.59782431196805,18356252,BHARTIARTL.NS
2020-02-03,481.5048522949219,484.6201490886266,468.2883580503637,468.2883580503637,15212799,BHARTIARTL.NS
2020-02-04,489.8595275878906,493.35244844011146,475.27421223922755,485.2337635740645,14646591,BHARTIARTL.NS
