Date,Close,High,Low,Open,Volume,Ticker
2020-01-01,1690.7469482421875,1699.562835766465,1681.3182900095276,1687.9183507723894,397285,ASIANPAINT.NS
2020-01-02,1688.34228515625,1697.0637918296748,1681.5065096554576,1688.6722650922814,411266,ASIANPAINT.NS
2020-01-03,1651.3348388671875,1678.1122449913596,1647.2333965164125,1678.1122449913596,1318628,ASIANPAINT.NS
2020-01-06,1609.6129150390625,1638.7002936652077,1597.2142102812784,1638.653104350279,1871804,ASIANPAINT.NS
2020-01-07,1625.87744140625,1641.0575543393043,1613.243019519994,1613.243019519994,1033650,ASIANPAINT.NS
2020-01-08,1630.0260009765625,1636.8145868652969,1598.1570995026948,1599.099965048124,1006057,ASIANPAINT.NS
2020-01-09,1671.276123046875,1673.586097255441,1641.528673420689,1662.2717123725874,1781733,ASIANPAINT.NS
2020-01-10,1690.1337890625,1694.6124006936202,1659.4434675308844,1670.7578548095041,1256612,ASIANPAINT.NS
2020-01-13,1701.778076171875,1704.6537470789438,1691.8307984526705,1696.2151463359191,823821,ASIANPAINT.NS
2020-01-14,1715.2139892578125,1717.5711532715532,1701.68389083812,1701.8724179208596,775629,ASIANPAINT.NS
2020-01-15,1736.994140625,1739.5870210086173,1706.6809887573506,1713.6582171724453,1252925,ASIANPAINT.NS
2020-01-16,1730.2998046875,1742.415604459067,1724.2654419126184,1731.0540280994248,1031569,ASIANPAINT.NS
2020-01-17,1725.4910888671875,1733.8354256901098,1711.3009167696678,1730.723923439446,862204,ASIANPAINT.NS
2020-01-20,1743.1229248046875,1755.8516114766892,1728.8384867424816,1732.9871187510564,1091453,ASIANPAINT.NS
2020-01-21,1707.2939453125,1737.2771184865437,1691.3594930922807,1734.8255757635081,2101561,ASIANPAINT.NS
2020-01-22,1677.59375,1714.789754790638,1665.9021926264556,1711.301197836167,3415306,ASIANPAINT.NS
2020-01-23,1674.62353515625,1686.7865241685959,1656.7090891198031,1677.3578683599396,1885275,ASIANPAINT.NS
2020-01-24,1684.7122802734375,1697.0637964687642,1678.5364646278256,1681.7422306492433,1195596,ASIANPAINT.NS
2020-01-27,1686.1739501953125,1702.579837354028,1678.3010441590309,1684.9011044450494,969054,ASIANPAINT.NS
2020-01-28,1677.4522705078125,1691.5009918427445,1671.7008130084648,1691.5009918427445,873291,ASIANPAINT.NS
2020-01-29,1694.2821044921875,1700.7878994241396,1679.2434458915911,1684.9006388592215,873805,ASIANPAINT.NS
2020-01-30,1701.87255859375,1705.5497577783142,1683.9581106085525,1697.1582301765927,1005975,ASIANPAINT.NS
2020-01-31,1693.0565185546875,1719.7867334150692,1686.503534038143,1706.5866159436816,1169614,ASIANPAINT.NS
2020-02-03,1760.94287109375,1765.8929152414175,1664.1576991682696,1667.740634303986,2854532,ASIANPAINT.NS
2020-02-04,1783.2418212890625,1788.3803929608036,1749.0629420246212,1763.1587372277331,1830049,ASIANPAINT.NS
2020-02-05,1766.4586181640625,1782.0158998292384,1759.5285793505718,1781.0730342737731,1344016,ASIANPAINT.NS
2020-02-06,1750.712890625,1774.8502269452313,1739.587030516131,1770.7015952895904,995386,ASIANPAINT.NS
2020-02-07,1752.504150390625,1769.2872032059959,1744.8669624607128,1750.7127979237248,632858,ASIANPAINT.NS
2020-02-10,1762.6871337890625,1765.7514468058127,1732.2325306919272,1760.329969930024,747711,ASIANPAINT.NS
2020-02-11,1770.7957763671875,1786.258794493089,1765.7514686655754,1772.5872439414131,1093021,ASIANPAINT.NS
2020-02-12,1785.504638671875,1807.190548662019,1770.8902210698216,1772.587425281325,1616826,ASIANPAINT.NS
2020-02-13,1766.9771728515625,1793.2830287688157,1761.319979734581,1781.072966329686,638878,ASIANPAINT.NS
2020-02-14,1769.805908203125,1791.114647595668,1763.1586597310206,1769.2872860883745,771464,ASIANPAINT.NS
2020-02-17,1773.9073486328125,1785.315999282138,1763.7243541961186,1772.493050244155,676579,ASIANPAINT.NS
2020-02-18,1757.171142578125,1772.4927054750385,1754.6725262249918,1772.4927054750385,683421,ASIANPAINT.NS
2020-02-19,1777.207275390625,1784.608746843894,1745.574090556013,1763.2528193914764,723351,ASIANPAINT.NS
2020-02-20,1736.994140625,1778.2445103643643,1733.9770167624226,1775.4159135822365,1401879,ASIANPAINT.NS
2020-02-24,1715.025146484375,1747.1297626348264,1710.3580083214113,1739.8225550469042,1310832,ASIANPAINT.NS
2020-02-25,1721.7664794921875,1738.219549737392,1716.2035506273214,1733.3637699207072,897257,ASIANPAINT.NS
2020-02-26,1722.2855224609375,1739.587083716115,1716.0154430153548,1721.6726367835372,1909619,ASIANPAINT.NS
2020-02-27,1738.4559326171875,1746.187385803219,1707.0112674753682,1725.302886220568,1643273,ASIANPAINT.NS
2020-02-28,1695.22509765625,1736.8526353972602,1681.2707563427082,1716.015329416383,2964119,ASIANPAINT.NS
2020-03-02,1684.7122802734375,1732.4683302741805,1668.164943149996,1711.395307381588,1219296,ASIANPAINT.NS
2020-03-03,1704.497314453125,1721.0163747975778,1672.737037550781,1685.0909141872557,1392463,ASIANPAINT.NS
2020-03-04,1749.36865234375,1758.3618624611165,1707.8106475112018,1707.8106475112018,3050469,ASIANPAINT.NS
2020-03-05,1774.454833984375,1781.6021150475524,1753.2971486628196,1755.0958136547088,2062439,ASIANPAINT.NS
2020-03-06,1777.294921875,1783.874234347372,1737.1095190073909,1741.8427874515526,1393659,ASIANPAINT.NS
2020-03-09,1767.5445556640625,1813.6939255389677,1749.416113411795,1787.282263052743,3420741,ASIANPAINT.NS
2020-03-11,1782.406982421875,1803.375386005997,1752.7294105984793,1774.9283947173255,3194186,ASIANPAINT.NS
2020-03-12,1745.0140380859375,1774.7863656598174,1718.1764293669912,1765.4617344642627,6254349,ASIANPAINT.NS
