Date,Close,High,Low,Open,Volume,Ticker
2020-01-01,745.0122680664062,756.2068558573698,743.5196563609445,751.1817419292202,4917748,AXISBANK.NS
2020-01-02,753.2217407226562,755.2616315331181,743.9177566471072,746.3059600129626,5156046,AXISBANK.NS
2020-01-03,739.2907104492188,752.525190916109,736.8527654524016,749.4404838488126,8489729,AXISBANK.NS
2020-01-06,719.6876831054688,735.9571280391353,718.1453296681187,735.8079032942812,6356198,AXISBANK.NS
2020-01-07,722.1754150390625,734.3650792956639,717.4985521161532,724.4143329637444,9103360,AXISBANK.NS
2020-01-08,720.9315795898438,722.1754228948641,705.6074057781775,711.7271391326925,8973215,AXISBANK.NS
2020-01-09,739.191162109375,741.3305968504757,727.3995520774466,729.9369802284841,7559853,AXISBANK.NS
2020-01-10,736.4049072265625,748.0970331675642,731.1807658486681,739.3403892905711,8550490,AXISBANK.NS
2020-01-13,733.76806640625,743.0719900291039,731.7281147994584,736.3552361855197,6423758,AXISBANK.NS
2020-01-14,744.2161865234375,747.6989470098711,730.583654758207,736.3550742745352,7237665,AXISBANK.NS
2020-01-15,742.6241455078125,745.3108590156565,734.3650386562812,743.3704514414063,7911661,AXISBANK.NS
2020-01-16,733.66845703125,746.7039701385003,731.4792808640102,742.8231550813692,6487613,AXISBANK.NS
2020-01-17,736.2556762695312,738.7931041990385,727.25020309699,731.2305012560695,7678864,AXISBANK.NS
2020-01-20,723.6182861328125,742.5247041824992,721.4291097906785,739.2907116213687,10677371,AXISBANK.NS
2020-01-21,714.0654907226562,726.0063856225972,712.5231372783203,722.7723932538631,8242803,AXISBANK.NS
2020-01-22,709.090087890625,719.1901186939401,703.1196406928891,713.4684401294431,13321307,AXISBANK.NS
2020-01-23,719.4389038085938,733.917226447877,715.8566597016994,721.4787945009789,20643257,AXISBANK.NS
2020-01-24,733.76806640625,738.0468752263668,716.851797466853,719.8370213973348,9541490,AXISBANK.NS
2020-01-27,736.6039428710938,744.7635664081289,727.3995031932043,728.8423734517797,9170435,AXISBANK.NS
2020-01-28,733.5192260742188,742.823148787999,731.3797915059334,734.7630692570519,7836737,AXISBANK.NS
2020-01-29,731.6285400390625,741.8280538580361,729.9369012099855,736.3551440039528,7985274,AXISBANK.NS
2020-01-30,727.300048828125,732.7729591235673,723.7177438303881,732.1261363402924,6041343,AXISBANK.NS
2020-01-31,725.7078857421875,733.6187408730764,721.628104220362,731.0813128175736,8345819,AXISBANK.NS
2020-02-03,705.4580688476562,709.2890813241368,692.1240464442609,701.2290022830492,11594991,AXISBANK.NS
